ITERNUM	OTHER_TOTAL_SECS	OTHER_PROCS
1	267	4
2	265	4
3	267	4
4	265	4
5	265	5
6	265	3
7	263	3
8	262	2
9	265	4
10	265	3
11	272	5
12	266	4
13	806	7
14	265	4
15	267	3
16	263	5
17	266	4
18	265	4
19	268	4
20	263	3
21	264	2
22	268	5
23	266	4
24	265	5
25	265	5
26	266	4
27	18768	7
28	272	5
29	271	6
30	268	5
31	263	3
32	265	4
33	265	3
34	266	4
35	268	5
36	262	2
37	266	4
38	270	4
39	265	5
40	264	3
41	698	8
42	262	2
43	262	2
44	265	3
45	263	4
46	262	2
47	272	5
48	266	4
49	263	4
50	267	4
51	266	4
52	270	4
53	265	3
54	266	4
55	789	6
56	265	3
57	265	3
58	267	3
59	264	4
60	264	2
61	267	4
62	263	3
63	269	4
64	266	3
65	265	4
66	264	3
67	263	3
68	262	3
69	688	5
70	271	4
71	266	4
72	264	2
73	267	5
74	266	4
75	266	4
76	268	5
77	266	5
78	265	3
79	266	3
80	267	4
81	265	3
82	268	4
83	791	6
84	266	4
85	266	4
86	266	3
87	265	5
88	324	12
89	273	4
90	268	2
91	272	4
92	275	4
93	274	4
94	269	3
95	269	3
96	275	4
97	694	5
98	272	3
99	276	5
100	273	4
101	274	4
102	270	2
103	271	4
104	274	4
105	271	3
106	270	3
107	270	4
108	268	2
109	274	4
110	269	3
111	806	8
112	269	3
113	279	5
114	270	2
115	271	4
116	274	5
117	279	5
118	272	3
119	270	4
120	271	3
121	270	2
122	271	3
123	277	4
124	272	5
125	694	6
126	274	3
127	272	5
128	277	5
129	271	3
130	271	4
131	272	5
132	272	4
133	276	4
134	276	5
135	801	6
136	270	4
137	275	4
138	268	2
139	269	3
140	275	4
141	271	3
142	279	7
143	268	2
144	272	4
145	268	2
146	275	4
147	274	5
148	271	3
149	701	5
150	269	3
151	270	3
152	272	3
153	273	4
154	270	2
155	272	3
156	271	5
157	273	5
158	276	4
159	274	5
160	270	2
161	271	3
162	273	3
163	805	6
164	278	7
165	272	4
166	273	3
167	272	5
168	272	4
169	276	4
170	272	4
171	277	3
172	273	3
173	274	5
174	269	3
175	276	4
176	271	3
177	696	6
178	270	4
179	271	3
180	271	3
181	274	4
182	274	5
183	272	3
184	275	4
185	269	3
186	268	2
187	274	5
188	272	5
189	274	4
190	274	4
191	800	7
192	269	3
193	274	4
194	269	3
195	271	3
196	278	4
197	269	3
198	275	5
199	275	4
200	271	4
201	274	4
202	271	4
203	273	4
204	271	3
205	698	7
206	272	4
207	270	2
208	272	3
209	273	3
210	274	4
211	271	3
212	269	3
213	269	3
214	269	3
215	269	3
216	271	3
217	272	3
218	270	2
219	799	6
220	271	3
221	279	4
222	276	5
223	270	3
224	268	2
225	274	5
226	270	4
227	272	4
228	281	7
229	276	5
230	271	3
231	269	3
232	270	4
233	698	6
234	276	4
235	273	3
236	272	3
237	273	4
238	273	3
239	272	3
240	275	5
241	271	4
242	269	2
243	271	3
244	274	6
245	277	5
246	272	4
247	801	6
248	271	4
249	273	4
250	269	3
251	275	5
252	322	11
253	271	3
254	275	4
255	274	5
256	273	5
257	274	4
258	272	4
259	272	3
260	272	4
261	700	6
262	272	4
263	279	4
264	271	3
265	271	3
266	270	4
267	270	3
268	272	4
269	277	5
270	273	4
271	270	3
272	270	4
273	269	3
274	270	3
275	275	4
276	20175	7
277	270	3
278	273	3
279	270	4
280	272	4
281	286	6
282	270	2
283	271	5
284	272	5
285	274	5
286	277	6
287	270	4
288	275	5
289	270	4
290	663	7
291	271	4
292	277	4
293	275	4
294	271	3
295	270	3
296	270	3
297	269	3
298	825	7
299	271	5
300	274	5
