ITERNUM	OTHER_TOTAL_SECS	OTHER_PROCS
1	265	3
2	266	4
3	266	3
4	264	2
5	266	4
6	806	5
7	262	2
8	266	4
9	265	3
10	263	3
11	266	3
12	265	3
13	268	5
14	263	3
15	265	3
16	263	3
17	262	2
18	265	3
19	262	2
20	268	5
21	264	4
22	262	2
23	265	4
24	264	2
25	264	2
26	262	2
27	264	2
28	263	3
29	264	2
30	265	3
31	262	2
32	265	5
33	262	2
34	265	4
35	263	3
36	262	2
37	267	3
38	263	2
39	263	3
40	265	3
41	264	2
42	264	2
43	264	2
44	262	2
45	265	3
46	265	3
47	262	2
48	262	2
49	263	3
50	264	2
51	263	3
52	263	3
53	262	2
54	264	2
55	264	2
56	263	2
57	266	4
58	264	4
59	267	5
60	266	4
61	263	3
62	644	5
63	265	3
64	266	3
65	264	2
66	267	5
67	262	2
68	262	2
69	265	3
70	262	2
71	263	3
72	262	2
73	264	2
74	262	2
75	265	3
76	267	3
77	265	3
78	264	4
79	265	4
80	263	3
81	264	2
82	264	3
83	263	3
84	265	3
85	262	2
86	262	2
87	264	4
88	264	2
89	265	3
90	266	4
91	262	2
92	264	4
93	263	3
94	264	2
95	264	2
96	263	3
97	264	2
98	274	5
99	263	3
100	262	2
101	262	2
102	263	3
103	262	2
104	263	3
105	265	3
106	264	2
107	268	3
108	265	3
109	265	3
110	262	2
111	263	3
112	265	3
113	265	3
114	262	2
115	264	2
116	262	2
117	265	3
118	2229	7
119	262	2
120	266	3
121	263	3
122	265	3
123	265	3
124	264	2
125	263	3
126	265	3
127	263	3
128	262	2
129	262	2
130	270	4
131	262	2
132	263	3
133	264	4
134	264	2
135	262	2
136	264	2
137	262	2
138	262	2
139	265	3
140	263	3
141	264	2
142	262	2
143	264	2
144	264	4
145	262	2
146	263	3
147	262	2
148	263	2
149	266	4
150	263	3
151	264	2
152	266	4
153	264	4
154	269	4
155	263	3
156	263	3
157	262	2
158	263	3
159	265	3
160	263	3
161	261	3
162	264	2
163	263	3
164	262	2
165	264	2
166	263	3
167	263	3
168	265	3
169	265	3
170	260	2
171	297	9
172	266	4
173	265	3
174	263	4
175	262	2
176	263	3
177	267	5
178	265	3
179	264	2
180	263	3
181	265	3
182	263	3
183	263	3
184	265	5
185	263	3
186	263	3
187	260	2
188	264	2
189	264	2
190	263	3
191	263	2
192	262	2
193	263	3
194	266	4
195	264	2
196	263	3
197	268	5
198	264	2
199	262	2
200	266	4
201	265	3
202	641	5
203	260	2
204	264	2
205	266	4
206	263	3
207	264	4
208	260	2
209	260	2
210	262	2
211	264	2
212	263	3
213	263	2
214	263	3
215	266	3
216	264	2
217	266	4
218	262	2
219	265	3
220	264	2
221	262	2
222	264	2
223	263	3
224	266	4
225	262	2
226	263	3
227	264	2
228	265	3
229	265	3
230	263	3
231	263	3
232	264	2
233	264	2
234	265	3
235	262	2
236	265	3
237	264	3
238	265	3
239	264	2
240	265	3
241	262	2
242	264	3
243	264	2
244	265	4
245	263	3
246	266	4
247	272	5
248	262	2
249	263	3
250	262	2
251	267	4
252	265	3
253	264	2
254	262	2
255	266	4
256	262	2
257	265	4
258	803	6
259	263	3
260	262	2
261	264	2
262	264	2
263	264	4
264	266	3
265	263	3
266	264	2
267	262	2
268	265	3
269	266	4
270	264	2
271	264	4
272	264	2
273	263	3
274	262	2
275	265	3
276	262	2
277	263	3
278	265	3
279	264	4
280	264	2
281	264	2
282	262	2
283	264	2
284	267	3
285	266	3
286	265	3
287	261	3
288	262	2
289	263	3
290	264	2
291	264	4
292	265	3
293	262	2
294	267	5
295	261	2
296	263	2
297	265	4
298	266	3
299	265	3
300	262	2
