RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
17480	1	8020	8019	8216	1	197	3	93
17480	2	8016	8014	8214	2	200	4	93
17480	3	8022	8022	8219	0	197	3	93
17480	4	8016	8015	8213	1	198	4	93
17480	5	8022	8021	8218	1	197	3	93
17480	6	8017	8015	8214	2	199	3	93
17480	7	8021	8019	8218	2	199	3	93
17480	8	8022	8022	8219	0	197	3	93
17480	9	8016	8016	8213	0	197	3	93
17480	10	8022	8021	8218	1	197	3	93
17480	11	8016	8014	8214	2	200	4	93
17480	12	8023	8021	8219	2	198	4	93
17480	13	8014	8013	8210	1	197	3	93
17480	14	8022	8020	8220	2	200	4	93
17480	15	8018	8016	8214	2	198	4	93
17480	16	8021	8021	8218	0	197	3	93
17480	17	8022	8021	8220	1	199	3	93
17480	18	8017	8015	8214	2	199	3	93
17480	19	8021	8020	8220	1	200	2	93
17480	20	8014	8014	8212	0	198	2	93
17480	21	8022	8022	8219	0	197	3	93
17480	22	8016	8016	8213	0	197	3	93
17480	23	8022	8020	8218	2	198	4	93
17480	24	8022	8021	8219	1	198	4	93
17480	25	8018	8015	8215	3	200	4	93
17480	26	8020	8020	8218	0	198	2	93
17480	27	8046	8020	8243	26	223	8	104
17480	28	8022	8021	8218	1	197	3	93
17480	29	8016	8015	8212	1	197	3	93
17480	30	8022	8021	8219	1	198	3	93
17480	31	8016	8015	8212	1	197	3	93
17480	32	8020	8020	8216	0	196	2	93
17480	33	8023	8021	8220	2	199	3	93
17480	34	8017	8015	8214	2	199	3	93
17480	35	8022	8021	8220	1	199	3	93
17480	36	8016	8014	8214	2	200	4	93
17480	37	8022	8020	8220	2	200	4	93
17480	38	8014	8013	8210	1	197	3	93
17480	39	8022	8020	8218	2	198	4	93
17480	40	8019	8018	8215	1	197	3	93
17480	41	8021	8020	8219	1	199	3	93
17480	42	8022	8021	8220	1	199	3	93
17480	43	8016	8015	8212	1	197	3	93
17480	44	8020	8020	8218	0	198	2	93
17480	45	8014	8014	8212	0	198	2	93
17480	46	8022	8022	8219	0	197	3	93
17480	47	8016	8016	8213	0	197	3	93
17480	48	8022	8021	8220	1	199	3	93
17480	49	8022	8020	8220	2	200	4	93
17480	50	8018	8015	8215	3	200	4	93
17480	51	8020	8019	8216	1	197	3	93
