RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
17200	41	8208016	8208004	8208217	11	213	6	94
17200	42	8207987	8207969	8208188	17	219	7	94
17200	43	8207975	8207956	8208173	18	217	7	94
17200	44	8208044	8208015	8208241	28	226	7	105
17200	45	8208047	8207993	8208242	53	249	11	112
17200	46	8208004	8207985	8208200	18	215	8	94
17200	47	8208008	8207992	8208208	15	216	8	94
17200	48	8207977	8207958	8208175	18	217	8	94
17200	49	8207983	8207966	8208184	16	218	9	94
17200	50	8207986	8207968	8208183	17	215	8	94
17200	51	8208014	8207999	8208216	14	217	7	94
17200	52	8207998	8207972	8208197	25	225	9	94
17200	53	8207995	8207974	8208195	20	221	8	94
17200	54	8207986	8207967	8208187	18	220	8	94
17200	55	8208046	8208004	8208242	41	238	10	105
17200	56	8208060	8207998	8208255	61	257	14	112
17200	57	8208009	8207995	8208206	13	211	6	94
17200	58	8207968	8207954	8208167	13	213	8	94
17200	59	8208017	8208000	8208215	16	215	7	94
17200	60	8207963	8207946	8208161	16	215	8	94
17200	61	8208006	8207989	8208206	16	217	7	94
17200	62	8208016	8208000	8208214	15	214	7	94
17200	63	8207968	8207947	8208163	20	216	7	94
17200	64	8207956	8207948	8208154	7	206	6	94
17200	65	8208040	8208010	8208241	29	231	11	105
17200	66	8208060	8208004	8208258	55	254	15	112
17200	67	8207984	8207970	8208184	13	214	7	94
17200	68	8208002	8207989	8208202	12	213	8	94
17200	69	8208010	8207989	8208210	20	221	7	94
17200	70	8208001	8207989	8208200	11	211	7	94
17200	71	8207979	8207968	8208178	10	210	6	94
17200	72	8207985	8207967	8208182	17	215	7	94
17200	73	8208011	8207994	8208207	16	213	8	94
17200	74	8207979	8207959	8208177	19	218	7	94
17200	75	8207969	8207954	8208167	14	213	7	94
17200	76	8208042	8208002	8208239	39	237	11	105
17200	77	8208062	8207997	8208259	64	262	15	112
17200	78	8207969	8207959	8208170	9	211	6	94
17200	79	8207963	8207944	8208165	18	221	8	94
17200	80	8208019	8207999	8208215	19	216	7	94
