ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	256501	256500	256765	1	265	4	124
2	256506	256504	256770	2	266	5	124
3	256500	256497	256763	3	266	4	124
4	256502	256502	256766	0	264	3	124
5	256507	256504	256770	3	266	5	124
6	257057	256508	257314	549	806	6	125
7	256505	256505	256767	0	262	3	124
8	256501	256499	256765	2	266	5	124
9	256502	256500	256765	2	265	4	124
10	256505	256504	256767	1	263	4	124
11	256500	256499	256765	1	266	4	124
12	256508	256507	256772	1	265	4	124
13	256509	256504	256772	5	268	6	125
14	256501	256502	256765	-1	263	4	124
15	256501	256501	256766	0	265	4	124
16	256505	256503	256766	1	263	4	124
17	256506	256506	256768	0	262	3	124
18	256501	256501	256766	0	265	4	124
19	256500	256500	256762	0	262	3	124
20	256504	256501	256769	3	268	6	124
21	256509	256509	256773	0	264	5	124
22	256499	256499	256761	0	262	3	124
23	256506	256505	256770	1	265	5	124
24	256502	256500	256764	2	264	3	124
25	256502	256502	256766	0	264	3	124
26	256501	256501	256763	0	262	3	124
27	256503	256502	256766	1	264	3	124
28	256503	256501	256764	2	263	4	124
29	256502	256501	256765	1	264	3	124
30	256508	256507	256772	1	265	4	124
31	256503	256504	256766	-1	262	3	124
32	256498	256495	256760	3	265	6	124
33	256504	256502	256764	1	262	3	124
34	256498	256496	256761	2	265	5	124
35	256501	256500	256763	1	263	4	124
36	256507	256507	256769	0	262	3	124
37	256511	256505	256772	6	267	4	125
38	256504	256503	256766	1	263	3	124
39	256503	256502	256765	1	263	4	124
40	256500	256499	256764	1	265	4	124
41	256507	256506	256770	1	264	3	124
42	256501	256501	256765	0	264	3	124
43	256506	256506	256770	0	264	3	124
44	256500	256499	256761	1	262	3	124
45	256501	256501	256766	0	265	4	124
46	256501	256500	256765	1	265	4	124
47	256500	256500	256762	0	262	3	124
48	256502	256502	256764	0	262	3	124
49	256500	256500	256763	0	263	4	124
50	256502	256501	256765	0	264	3	124
51	256502	256502	256765	0	263	4	124
52	256505	256504	256767	1	263	4	124
53	256502	256503	256765	-1	262	3	124
54	256501	256500	256764	1	264	3	124
55	256503	256502	256766	1	264	3	124
56	256504	256503	256766	1	263	3	124
57	256504	256502	256768	2	266	5	124
58	256503	256502	256766	1	264	5	124
59	256501	256499	256766	2	267	6	124
60	256511	256506	256772	5	266	5	125
61	256504	256504	256767	0	263	4	124
62	256890	256507	257151	383	644	6	125
63	256503	256502	256767	1	265	4	124
64	256505	256502	256768	3	266	4	124
65	256501	256501	256765	0	264	3	124
66	256503	256499	256766	3	267	6	124
67	256504	256504	256766	0	262	3	124
68	256504	256505	256767	-1	262	3	124
69	256500	256499	256764	1	265	4	124
70	256505	256505	256767	0	262	3	124
71	256501	256499	256762	2	263	4	124
72	256504	256505	256767	-1	262	3	124
73	256504	256504	256768	0	264	3	124
74	256501	256501	256763	0	262	3	124
75	256502	256500	256765	2	265	4	124
76	256502	256499	256766	3	267	4	124
77	256504	256502	256767	2	265	4	124
78	256499	256498	256762	1	264	5	124
79	256505	256504	256769	1	265	5	124
80	256501	256500	256763	1	263	4	124
81	256501	256500	256764	1	264	3	124
82	256504	256504	256768	0	264	4	124
83	256499	256497	256760	1	263	4	124
84	256509	256505	256770	4	265	4	124
85	256502	256502	256764	0	262	3	124
86	256501	256502	256764	-1	262	3	124
87	256500	256498	256762	2	264	5	124
88	256502	256502	256766	0	264	3	124
89	256502	256499	256764	3	265	4	124
90	256501	256499	256765	2	266	5	124
91	256500	256499	256761	1	262	3	124
92	256505	256503	256767	2	264	5	124
93	256501	256500	256763	1	263	4	124
94	256499	256499	256763	0	264	3	124
95	256503	256502	256766	1	264	3	124
96	256502	256502	256765	0	263	4	124
97	256498	256497	256761	1	264	3	124
98	256513	256503	256777	10	274	6	126
99	256507	256505	256768	2	263	4	124
100	256502	256501	256763	0	262	3	124
101	256501	256502	256764	-1	262	3	124
102	256503	256503	256766	0	263	4	124
103	256499	256499	256761	0	262	3	124
104	256504	256504	256767	0	263	4	124
105	256502	256501	256766	1	265	4	124
106	256502	256502	256766	0	264	3	124
107	256511	256506	256774	5	268	4	125
108	256503	256501	256766	2	265	4	124
109	256501	256500	256765	1	265	4	124
110	256504	256504	256766	0	262	3	124
111	256503	256502	256765	1	263	4	124
112	256502	256500	256765	2	265	4	125
113	256499	256497	256762	2	265	4	124
114	256502	256503	256765	-1	262	3	124
