#WL	v1	v2	v3	v4	v5	v6
1	3.59	2.39	1.65	0.85	0.65	0.42
2	6.25	4.33	2.78	1.27	0.75	0.64
4	9.90	7.52	5.75	1.52	1.52	1.6
8	15.44	10.66	8.74	1.81	1.76	1.55
16	?	?	?	1.86	1.66	1.65
32	?	?	?	1.93	1.46	1.67
64	?	?	?	2.25	1.94	1.46
128	?	?	?	2.32	2.12	2.21
256	?	?	?	3.29	2.56	2.51
512	?	?	?	9.41	3.21	2.99
1024	?	?	?	11.43	4.61	4.48
2048	?	?	?	11.19	7.07	6.57
#3072 	?	?	?	?	?	10.97
#4096	?	?	?	25.98	22.12	19.18
4096	?	?	?	25.8	6.9	6.9
#4096	?	?	?	?	?	19.18
8192	?	?	?	?	?	18.42
16384	?	?	?	?	?	26.67
