ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
144	2052018	2052011	2052246	6	235	4	108
145	2052564	2052010	2052788	554	778	9	110
146	2052004	2051998	2052230	5	232	5	108
147	2052009	2052006	2052238	3	232	5	108
148	2052025	2052016	2052253	8	237	6	109
149	2052014	2052009	2052241	5	232	6	108
150	2052011	2052002	2052240	8	238	6	108
151	2052024	2052018	2052254	6	236	5	109
152	2052402	2052012	2052627	389	615	7	109
153	2052026	2052019	2052256	7	237	5	108
154	2052035	2052025	2052261	9	236	6	109
155	2052031	2052022	2052262	9	240	6	108
156	2052023	2052017	2052251	5	234	6	108
157	2052025	2052020	2052255	5	235	5	109
158	2052025	2052009	2052249	16	240	7	110
159	2052554	2052000	2052779	553	779	6	109
160	2051990	2051981	2052220	9	239	5	109
161	2051995	2051985	2052223	9	238	4	108
162	2052013	2052010	2052243	3	233	5	108
163	2052410	2052021	2052635	388	614	9	110
164	2052028	2052020	2052257	8	237	7	108
165	2052016	2052012	2052243	3	231	4	108
166	2052031	2052023	2052260	8	237	8	109
167	2052018	2052012	2052245	5	233	6	108
168	2052021	2052016	2052248	5	232	5	108
169	2052021	2052012	2052250	8	238	5	109
170	2052577	2052031	2052805	546	774	7	109
171	2052007	2052003	2052235	3	232	4	108
172	2052012	2052005	2052241	7	236	7	109
173	2052009	2052003	2052238	5	235	5	108
174	2052012	2052006	2052240	6	234	5	108
175	2052022	2052014	2052252	7	238	7	109
176	2052016	2052011	2052247	5	236	6	108
177	2052405	2052009	2052633	395	624	9	109
178	2052019	2052006	2052250	13	244	7	109
179	2052006	2052001	2052234	5	233	4	108
180	2052017	2052011	2052245	5	234	6	108
181	2052028	2052017	2052258	11	241	7	109
182	2052019	2052012	2052247	6	235	6	108
183	2052008	2052004	2052235	4	231	4	108
184	2052584	2052016	2052808	567	792	8	109
185	2052002	2051996	2052231	6	235	7	108
186	2052012	2052003	2052240	8	237	5	109
187	2052008	2052000	2052238	8	238	6	108
188	2052006	2052005	2052234	0	229	4	108
189	2052010	2051998	2052237	12	239	7	109
190	2052011	2052004	2052238	6	234	6	108
191	2052404	2052021	2052632	383	611	7	109
192	2052024	2052015	2052253	8	238	6	109
193	2052007	2052002	2052234	5	232	6	108
194	2052018	2052013	2052246	4	233	5	108
195	2052025	2052014	2052255	11	241	7	109
196	2052013	2052006	2052239	6	233	5	108
197	2052018	2052014	2052248	4	234	6	108
198	2052577	2052014	2052802	562	788	8	110
199	2052028	2052014	2052254	14	240	7	110
