ITERNUM	METIME
1	2052474
2	2052518
3	2052506
4	2052504
5	2052807
6	2052488
7	2052475
8	2052484
9	2052494
10	2052516
11	2052518
12	2052601
13	2052492
14	2052475
15	2052479
16	2052472
17	2052505
18	2052490
19	2052619
20	2052473
21	2052482
22	2052494
23	2052496
24	2052486
25	2052508
26	2052811
27	2052489
28	2052493
29	2052497
30	2052500
31	2052496
32	2052491
33	2052601
34	2052485
35	2052495
36	2052506
37	2052506
38	2052482
39	2052501
40	2052631
41	2052492
42	2052510
43	2052494
44	2052489
45	2052472
46	2052520
47	2052811
48	2052502
49	2052525
50	2052481
51	2052512
52	2052494
53	2052494
54	2052635
55	2052513
56	2052505
57	2052477
58	2052491
59	2052482
60	2052502
61	2052618
62	2052497
63	2052485
64	2052480
65	2052507
66	2052477
67	2052522
68	2052818
69	2052503
70	2052510
71	2052491
72	2052502
73	2052517
74	2052483
75	2052625
76	2052490
77	2052503
78	2052489
79	2052477
80	2052474
81	2052508
82	2052613
83	2052490
84	2052494
85	2052477
86	2052506
87	2052520
88	2052491
89	2052692
90	2052499
91	2052476
92	2052496
93	2052611
94	2052486
95	2052508
96	2052517
97	2052482
98	2052481
99	2052485
100	2052613
