ITERNUM	METIME
1	2052525
2	2052620
3	2052482
4	2052490
5	2052490
6	2052500
7	2052471
8	2052503
9	2052638
10	2052507
11	2052478
12	2052488
13	2052520
14	2052517
15	2052501
16	2052633
17	2052478
18	2052499
19	2052490
20	2052530
21	2052507
22	2052518
23	2052622
24	2052513
25	2052479
26	2052491
27	2052509
28	2052506
29	2052476
30	2052632
31	2052511
32	2052501
33	2052504
34	2052513
35	2052509
36	2052506
37	2052624
38	2052497
39	2052502
40	2052502
41	2052493
42	2052507
43	2052518
44	2052618
45	2052513
46	2052489
47	2052486
48	2052493
49	2052484
50	2052506
51	2052612
52	2052483
53	2052497
54	2052499
55	2052483
56	2052491
57	2052521
58	2052623
59	2052498
60	2052496
61	2052490
62	2052509
63	2052510
64	2052518
65	2052639
66	2052469
67	2052474
68	2052485
69	2052499
70	2052494
71	2052515
72	2052652
73	2052498
74	2052483
75	2052490
76	2052505
77	2052501
78	2052503
79	2052637
80	2052514
81	2052508
82	2052498
83	2052508
84	2052519
85	2052500
86	2052625
87	2052489
88	2052484
89	2052488
90	2052603
91	2052522
92	2052503
93	2052502
94	2052519
95	2052495
96	2052506
97	2052620
98	2052521
99	2052512
100	2052510
