"ITERNUM"	"METIME1"	"METIME2"
1	64143	64140
2	64144	64142
3	64143	64262
4	64144	64137
5	64144	64138
6	64145	64138
7	64146	64140
8	64145	64140
9	64144	64140
10	64138	64147
11	64138	64146
12	64138	64142
13	64143	64141
14	64140	64139
15	64145	64142
16	64141	64137
17	64141	64144
18	64142	64139
19	64143	64146
20	64143	64140
21	64144	64143
22	64144	64143
23	64137	64142
24	64142	64146
25	64136	64144
26	64143	64145
27	64136	64144
28	64147	64143
29	64142	64142
30	64144	64138
31	64143	64146
32	64136	64144
33	64143	64144
34	64140	64143
35	64145	64138
36	64145	64144
37	64138	64142
38	64144	64142
39	64135	64144
40	64144	64145
41	64137	64144
42	64142	64143
43	64138	64144
44	64144	64143
45	64139	64142
46	64142	64144
47	64138	64148
48	64143	64141
49	64141	64142
50	64145	64137
51	64144	64142
52	64141	64139
53	64143	64145
54	64137	64145
55	64142	64138
56	64146	64144
57	64137	64142
58	64145	64136
59	64144	64144
60	64138	64142
61	64142	64140
62	64142	64145
63	64140	64145
64	64142	64137
65	64144	64141
66	64143	64145
67	64138	64143
68	64142	64701
69	64135	64143
70	64141	64145
71	64141	64145
72	64140	64135
73	64143	64143
74	64143	64143
75	64147	64138
76	64142	64145
77	64141	64144
78	64135	64146
79	64141	64144
80	64144	64136
81	64144	64142
82	64143	64141
83	64141	64146
84	64141	64142
85	64141	64144
86	64140	64145
87	64141	64141
88	64142	64140
89	64139	64142
90	64143	64143
91	64143	64146
92	64141	64144
93	64142	64143
94	64141	64141
95	64137	64141
96	64143	64141
97	64143	64141
98	64141	64143
99	64141	64141
100	64139	64143
101	64141	64140
102	64141	64143
103	64145	64142
104	64143	64141
105	64146	64141
106	64141	64142
107	64141	64144
108	64138	64143
109	64141	64141
110	64143	64142
111	64144	64142
112	64142	64141
113	64135	64143
114	64141	64145
115	64259	64146
116	64141	64140
117	64140	64140
118	64143	64140
119	64145	64144
120	64143	64141
121	64140	64145
122	64141	64144
123	64140	64144
124	64141	64143
125	64143	64141
126	64146	64142
127	64138	64140
128	64141	64145
129	64140	64142
130	64141	64145
131	64144	64140
132	64140	64137
133	64144	64141
134	64142	64141
135	64141	64145
136	64142	64143
137	64135	64143
138	64141	64143
139	64141	64141
140	64144	64141
141	64137	64140
142	64143	64141
143	64141	64145
144	64135	64143
145	64142	64142
146	64142	64141
147	64137	64141
148	64144	64144
149	64138	64144
150	64143	64138
151	64142	64144
152	64142	64138
153	64142	64142
154	64141	64143
155	64145	64142
156	64138	64144
157	64144	64142
158	64136	64144
159	64145	64146
160	64136	64144
161	64142	64142
162	64137	64144
163	64144	64144
164	64139	64145
165	64137	64145
166	64137	64145
167	64144	64139
168	64143	64138
169	64150	64140
170	64145	64142
171	64139	64142
172	64138	64145
173	64144	64139
174	64144	64144
175	64140	64147
176	64138	64143
177	64144	64139
178	64145	64142
179	64143	64142
180	64138	64941
181	64138	64145
182	64143	64141
183	64143	64139
184	64143	64143
185	64141	64144
186	64139	64143
187	64149	64136
188	64142	64139
189	64145	64146
190	64137	64145
191	64137	64141
192	64144	64137
193	64144	64144
194	64140	64143
195	64141	64141
196	64145	64143
197	64144	64140
198	64144	64138
199	64143	64138
200	64145	64138
201	64145	64137
202	64145	64137
203	64144	64142
204	64143	64145
205	64138	64145
206	64137	64145
207	64140	64142
208	64139	64145
209	64143	64139
210	64145	64140
211	64143	64140
212	64143	64142
213	64144	64138
214	64145	64138
215	64150	64142
216	64143	64144
217	64137	64147
218	64138	64147
219	64138	64145
220	64137	64145
221	64138	64144
222	64146	64137
223	64146	64138
224	64146	64139
225	64144	64144
226	64143	64143
227	64260	64147
228	64137	64142
229	64139	64143
230	64143	64140
231	64146	64139
232	64144	64139
233	64144	64144
234	64137	64145
235	64138	64142
236	64143	64139
237	64144	64142
238	64145	64137
239	64145	64142
240	64136	64147
241	64142	64146
242	64138	64146
243	64146	64138
244	64144	64144
245	64140	64143
246	64145	64137
247	64142	64147
248	64139	64142
