#ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS	STD
1	2007	2006	2211	1	205	3	96	0.00
2	2005	2005	2209	0	204	2	96	0.71
3	2005	2005	2209	0	204	2	96	0.58
4	2005	2005	2207	0	202	2	96	0.50
5	2003	2003	2208	0	205	3	95	1.10
6	2004	2004	2206	0	202	2	95	1.03
7	2005	2005	2207	0	202	2	95	0.95
8	2005	2005	2207	0	202	2	95	0.89
9	2005	2005	2205	0	200	2	95	0.83
10	2007	2006	2209	1	203	3	95	0.88
11	2002	2002	2204	0	202	2	95	1.21
12	2005	2005	2205	0	200	2	95	1.15
13	2005	2005	2207	0	202	2	95	1.11
14	2007	2006	2209	1	203	3	95	1.12
15	2005	2006	2204	-1	198	2	95	1.13
16	2001	2001	2203	0	202	2	95	1.45
17	2005	2005	2207	0	202	2	95	1.41
18	2007	2006	2207	1	201	3	95	1.41
19	2005	2005	2207	0	202	2	95	1.37
20	2005	2005	2207	0	202	2	95	1.33
21	2001	2001	2203	0	202	2	95	1.54
22	2007	2006	2209	1	203	3	95	1.53
23	2005	2005	2207	0	202	2	95	1.50
24	2005	2005	2208	0	203	3	96	1.46
25	2005	2005	2207	0	202	2	95	1.44
26	2003	2002	2205	1	203	3	95	1.50
27	2005	2005	2207	0	202	2	95	1.47
28	2006	2005	2205	1	200	2	95	1.45
29	2005	2005	2207	0	202	2	95	1.42
30	2007	2006	2209	1	203	3	95	1.42
31	2002	2002	2202	0	200	2	95	1.48
32	2005	2005	2207	0	202	2	95	1.46
33	2005	2005	2207	0	202	2	95	1.43
34	2005	2005	2207	0	202	2	95	1.41
35	2005	2005	2208	0	203	3	95	1.40
36	2003	2003	2205	0	202	2	95	1.40
37	2004	2004	2206	0	202	2	95	1.39
38	2005	2005	2207	0	202	2	95	1.37
39	2007	2006	2209	1	203	3	95	1.37
40	2005	2005	2207	0	202	2	95	1.35
41	2005	2005	2205	0	200	2	95	1.34
42	2002	2002	2202	0	200	2	95	1.38
43	2007	2006	2209	1	203	3	95	1.38
44	2005	2005	2206	0	201	2	95	1.37
45	2005	2005	2205	0	200	2	95	1.35
46	2005	2005	2206	0	201	2	95	1.34
47	2003	2002	2205	1	203	3	95	1.38
48	2005	2005	2207	0	202	2	95	1.37
49	2005	2005	2206	0	201	2	95	1.35
