ITERNUM	METIME
1	1026261
2	1026281
3	1026289
4	1026265
5	1026277
6	1026264
7	1026264
8	1026269
9	1026262
10	1026273
11	1026267
12	1026273
13	1026265
14	1026328
15	1026266
16	1026267
17	1026269
18	1026275
19	1026278
20	1026271
21	1026269
22	1026267
23	1026270
24	1026278
25	1026269
26	1026266
27	1026260
28	1026271
29	1026270
30	1026268
31	1026271
32	1026269
33	1026282
34	1026254
35	1026258
36	1026266
37	1026272
38	1026270
39	1026268
40	1026271
41	1026269
42	1026266
43	1026266
44	1026281
45	1026272
46	1026274
47	1026276
48	1026274
49	1026269
50	1026300
51	1026270
52	1026269
53	1026270
54	1026270
55	1026272
56	1026334
57	1026282
58	1026279
59	1026278
60	1026269
61	1026279
62	1026269
63	1026274
64	1026273
65	1026272
66	1026275
67	1026267
68	1026283
69	1026264
70	1026273
71	1026265
72	1026270
73	1026268
74	1026269
75	1026275
76	1026266
77	1026265
78	1026266
79	1026272
80	1026272
81	1026266
82	1026279
83	1026269
84	1026272
85	1026275
86	1026272
87	1026269
88	1026268
89	1026270
90	1026278
91	1026278
92	1026266
93	1026269
94	1026270
95	1026264
96	1026278
97	1026268
98	1026342
99	1026266
100	1026269
