"ITERNUM"	"METIME1"	"METIME2"
398	8015	8019
399	8019	8015
400	8019	8012
401	8021	8019
402	8014	8019
403	8019	8012
404	8021	8013
405	8021	8017
406	8013	8019
407	8021	8012
408	8021	8013
409	8020	8019
410	8015	8019
411	8021	8010
412	8021	8019
413	8017	8020
414	8012	8020
415	8021	8013
416	8021	8014
417	8019	8019
418	8015	8019
419	8019	8014
420	8136	8013
421	8021	8019
422	8015	8017
423	8015	8019
424	8022	8013
425	8021	8011
426	8021	8020
427	8015	8019
428	8014	8019
429	8021	8013
430	8022	8018
431	8016	8020
432	8015	8019
433	8022	8011
434	8020	8013
435	8021	8019
436	8015	8017
437	8015	8020
438	8021	8013
439	8022	8013
440	8021	8019
441	8015	8020
442	8018	8014
443	8021	8013
444	8022	8019
445	8013	8019
446	8015	8019
447	8021	8011
448	8019	8013
449	8021	8019
450	8015	8018
451	8018	8017
452	8021	8013
453	8021	8018
454	8015	8019
455	8015	8019
456	8019	8013
457	8021	8013
458	8021	8019
459	8012	8020
460	8016	8018
461	8021	8011
462	8020	8019
463	8016	8019
464	8015	8017
465	8021	8013
466	8021	8013
467	8021	8017
468	8015	8019
469	8015	8019
470	8019	8013
471	8021	8018
472	8018	8019
473	8013	8019
474	8022	8013
475	8021	8011
476	8021	8019
477	8015	8019
478	8016	8017
479	8016	8019
480	8021	8014
481	8021	8012
482	8021	8013
483	8021	8019
484	8014	8019
485	8015	8019
486	8016	8019
487	8016	8017
488	8021	8013
489	8021	8012
490	8019	8014
491	8021	8019
492	8015	8018
493	8016	8019
494	8015	8019
495	8021	8012
496	8021	8013
497	8021	8014
498	8019	8019
499	8017	8020
500	8015	8019
501	8013	8019
502	8020	8016
503	8021	8012
504	8021	8013
505	8021	8017
506	8020	8017
507	8015	8019
508	8016	8019
509	8017	8016
510	8021	8013
511	8021	8014
512	8019	8016
513	8021	8019
514	8015	8020
515	8013	8020
516	8017	8018
517	8021	8012
518	8022	8013
519	8021	8016
520	8021	8018
521	8015	8020
522	8015	8019
523	8015	8017
524	8021	8013
525	8021	8013
526	8019	8016
527	8020	8019
528	8015	8020
529	8013	8019
530	8019	8017
531	8021	8011
532	8021	8014
533	8021	8019
534	8018	8018
535	8015	8019
536	8016	8019
537	8021	8012
538	8021	8013
539	8021	8013
540	8020	8019
541	8015	8019
542	8015	8020
543	8013	8021
544	8021	8013
545	8021	8012
546	8021	8015
547	8021	8019
548	8015	8017
549	8016	8020
550	8020	8015
551	8020	8013
552	8021	8014
553	8021	8020
554	8013	8020
555	8015	8020
556	8015	8019
557	8021	8013
558	8022	8013
559	8021	8014
560	8020	8019
561	8015	8019
562	8016	8017
563	8021	8013
564	8021	8014
565	8021	8011
566	8021	8019
567	8015	8019
568	8013	8019
569	8018	8017
570	8021	8013
571	8020	8013
572	8021	8020
573	8015	8017
574	8016	8019
575	8015	8020
576	8022	8011
577	8021	8014
578	8021	8019
579	8015	8019
580	8015	8019
581	8015	8019
582	8019	8013
583	8021	8014
584	8021	8018
585	8016	8019
586	8015	8019
587	8015	8018
588	8021	8013
589	8021	8013
590	8021	8015
591	8019	8019
592	8015	8019
593	8014	8019
594	8021	8013
595	8021	8013
596	8019	8017
597	8019	8019
598	8015	8020
599	8013	8019
600	8022	8013
601	8021	8011
602	8022	8014
603	8021	8019
604	8016	8017
605	8016	8019
606	8016	8019
607	8014	8019
608	8019	8016
609	8021	8014
610	8019	8014
611	8021	8014
612	8021	8015
613	8019	8020
614	8016	8019
615	8016	8017
616	8016	8020
617	8016	8019
618	8022	8012
619	8021	8014
620	8021	8014
621	8019	8014
622	8022	8019
623	8016	8020
624	8014	8019
625	8016	8019
626	8016	8018
627	8019	8016
628	8021	8013
629	8021	8012
630	8021	8014
631	8022	8019
632	8015	8017
633	8016	8019
634	8016	8019
635	8014	8019
636	8021	8014
637	8021	8014
638	8019	8014
639	8021	8016
640	8020	8018
641	8013	8019
642	8016	8019
643	8015	8017
644	8021	8014
645	8021	8014
646	8021	8011
647	8021	8014
648	8021	8019
649	8014	8020
650	8015	8019
651	8016	8019
652	8017	8016
653	8022	8013
654	8021	8012
655	8019	8013
656	8021	8019
657	8016	8017
658	8016	8019
659	8015	8019
660	8018	8015
661	8021	8013
662	8021	8013
663	8019	8013
664	8022	8020
665	8015	8019
666	8014	8020
667	8015	8020
668	8024	8012
669	8019	8014
670	8023	8013
671	8021	8015
672	8020	8020
673	8015	8022
674	8015	8017
675	8016	8019
676	8021	8014
677	8019	8013
678	8021	8014
679	8021	8019
680	8014	8019
681	8015	8019
682	8015	8018
683	8018	8015
684	8021	8014
685	8021	8012
686	8021	8017
687	8019	8019
688	8015	8017
689	8015	8020
690	8017	8018
691	8019	8013
692	8021	8013
693	8021	8015
694	8019	8019
695	8016	8019
696	8015	8017
697	8014	8019
698	8021	8013
699	8021	8011
700	8021	8014
701	8021	8019
702	8015	8017
703	8016	8019
704	8016	8019
705	8019	8013
706	8021	8013
707	8021	8014
708	8020	8019
709	8015	8019
710	8015	8018
711	8015	8019
712	8021	8014
713	8021	8012
714	8021	8015
715	8021	8019
716	8015	8018
717	8015	8019
718	8017	8017
719	8020	8013
720	8021	8013
721	8021	8018
722	8017	8019
723	8015	8019
724	8015	8017
725	8019	8014
726	8022	8014
727	8021	8012
728	8021	8014
729	8021	8014
730	8021	8012
731	8021	8014
732	8021	8014
733	8019	8014
734	8021	8014
735	8021	8014
736	8019	8014
737	8021	8014
738	8021	8012
739	8021	8014
740	8021	8014
741	8021	8013
742	8021	8014
743	8021	8014
744	8021	8013
745	8021	8014
746	8021	8015
747	8019	8014
748	8022	8014
749	8021	8014
750	8019	8014
751	8021	8014
752	8021	8012
753	8021	8014
754	8021	8014
755	8021	8012
756	8021	8014
757	8021	8014
758	8019	8014
759	8021	8014
760	8021	8014
761	8019	8014
762	8021	8016
763	8021	8014
764	8019	8014
765	8021	8014
766	8021	8012
767	8021	8014
768	8021	8014
769	8021	8012
770	8021	8014
771	8021	8014
772	8019	8014
773	8021	8014
774	8021	8015
775	8019	8016
776	8021	8017
777	8020	8017
778	8016	8019
779	8017	8019
780	8016	8017
781	8016	8019
782	8016	8019
783	8016	8017
784	8016	8020
785	8016	8019
786	8014	8019
787	8016	8019
788	8016	8020
789	8014	8019
