SAMPLE_SIZE	STD
1000	1.07081587896643
2000	1.05839872162005
3000	1.07306883025292
4000	1.06769658330375
5000	1.06512405749357
6000	1.06216065314892
7000	1.06325850362026
8000	1.06700667777025
9000	1.0717497452254
10000	1.07403578398791
11000	1.07605689687544
12000	1.07480417611834
13000	1.07516732371138
14000	1.07725563476448
15000	1.0781630726671
16000	1.07967567864935
17000	1.08044368064354
18000	1.08088184805057
19000	1.07985910107101
20000	1.08064128149861
