"ITERNUM"	"METIME1"	"METIME2"
1	4009	4005
2	4011	4010
3	4009	4012
4	4002	4012
5	4009	4010
6	4009	4003
7	4011	4010
8	4011	4010
9	4002	4012
10	4009	4012
11	4009	4005
12	4009	4010
13	4011	4010
14	4007	4007
15	4009	4012
16	4009	4010
17	4005	4012
18	4009	4010
19	4010	4004
20	4011	4010
21	4011	4010
22	4003	4012
23	4009	4012
24	4009	4003
25	4009	4010
26	4011	4010
27	4004	4010
28	4009	4012
29	4009	4005
30	4009	4012
31	4009	4010
32	4004	4010
33	4011	4010
34	4009	4007
35	4008	4012
36	4009	4012
37	4005	4007
38	4011	4010
39	4011	4009
40	4007	4010
41	4009	4012
42	4008	4006
43	4009	4010
44	4011	4010
45	4004	4010
46	4011	4010
47	4009	4005
48	4009	4012
49	4009	4010
50	4002	4010
51	4011	4010
52	4011	4003
53	4009	4012
54	4009	4012
55	4002	4012
56	4009	4010
57	4011	4004
58	4011	4010
59	4009	4012
60	4002	4012
61	4009	4012
62	4009	4004
63	4011	4010
64	4011	4010
65	4004	4010
66	4009	4012
67	4009	4007
68	4009	4010
69	4011	4010
70	4005	4009
71	4011	4010
72	4009	4008
73	4008	4012
74	4009	4010
75	4005	4007
76	4011	4010
77	4011	4006
78	4007	4012
79	4009	4012
80	4005	4009
81	4009	4010
82	4011	4007
83	4009	4010
84	4009	4012
85	4006	4009
86	4009	4012
87	4009	4008
88	4008	4010
89	4011	4010
90	4007	4007
91	4009	4012
92	4009	4010
93	4006	4010
94	4011	4010
95	4008	4006
96	4011	4010
97	4009	4009
98	4007	4012
99	4009	4010
100	4005	4008
101	4011	4010
102	4011	4006
103	4008	4012
104	4009	4012
105	4004	4010
106	4009	4010
107	4011	4010
108	4004	4127
109	4009	4012
110	4009	4005
111	4009	4012
112	4009	4010
113	4009	4005
114	4011	4010
115	4011	4010
116	4002	4012
117	4009	4012
118	4009	4005
119	4010	4010
120	4011	4010
121	4011	4003
122	4009	4012
123	4009	4012
124	4002	4010
125	4011	4010
126	4011	4007
127	4009	4010
128	4009	4012
129	4009	4005
130	4009	4010
131	4009	4010
132	4004	4010
133	4011	4010
134	4009	4010
135	4006	4012
136	4009	4012
137	4009	4003
138	4011	4010
139	4011	4010
140	4002	4012
141	4009	4012
142	4009	4010
143	4006	4010
144	4011	4010
145	4011	4003
146	4011	4010
147	4009	4012
148	4002	4012
149	4009	4010
150	4011	4006
151	4009	4010
152	4011	4010
153	4008	4006
154	4009	4012
155	4009	4010
156	4002	4010
157	4011	4010
158	4011	4003
159	4009	4012
160	4009	4012
161	4005	4009
162	4009	4010
163	4011	4010
164	4004	4010
165	4009	4012
166	4009	4005
167	4009	4012
168	4009	4010
169	4004	4010
170	4011	4010
171	4011	4008
172	4006	4012
173	4009	4012
174	4009	4003
175	4011	4010
176	4011	4010
177	4004	4010
178	4009	4012
179	4009	4005
180	4009	4010
181	4009	4010
182	4005	4009
183	4011	4010
184	4009	4009
185	4006	4012
186	4009	4012
187	4008	4004
188	4011	4010
189	4011	4010
190	4004	4010
191	4009	4012
192	4009	4005
193	4009	4010
194	4011	4010
195	4004	4010
196	4011	4010
197	4009	4008
198	4008	4012
199	4009	4010
200	4007	4005
201	4011	4010
202	4011	4010
203	4002	4012
204	4009	4012
205	4009	4005
206	4009	4010
207	4011	4010
208	4004	4010
209	4009	4012
210	4009	4005
211	4009	4012
212	4009	4010
213	4005	4009
214	4011	4010
215	4011	4007
216	4007	4012
217	4009	4012
218	4007	4005
219	4011	4010
220	4011	4010
221	4005	4010
222	4009	4012
223	4009	4005
224	4009	4010
225	4009	4010
226	4004	4010
227	4011	4010
228	4009	4006
229	4009	4012
230	4009	4012
231	4009	4003
232	4011	4010
233	4011	4010
234	4001	4012
235	4009	4012
236	4009	4012
237	4004	4010
238	4011	4010
239	4011	4003
240	4011	4010
241	4009	4012
242	4007	4007
243	4009	4010
244	4011	4010
245	4004	4010
246	4011	4010
247	4009	4008
248	4007	4012
249	4009	4010
250	4009	4003
251	4011	4010
252	4011	4010
253	4002	4012
254	4009	4012
255	4009	4012
256	4002	4010
257	4011	4010
258	4011	4003
259	4009	4012
260	4009	4012
261	4006	4008
262	4009	4010
263	4011	4010
264	4004	4010
265	4011	4010
266	4009	4005
267	4009	4012
268	4009	4010
269	4010	4004
270	4011	4010
271	4011	4010
272	4002	4012
273	4009	4012
274	4009	4005
275	4009	4010
276	4011	4010
277	4011	4003
278	4009	4012
279	4009	4012
280	4002	4012
281	4009	4010
282	4011	4005
283	4010	4010
284	4009	4012
285	4009	4005
286	4009	4012
287	4009	4010
288	4004	4010
289	4011	4010
290	4011	4005
291	4009	4012
292	4009	4012
293	4008	4004
294	4011	4010
295	4011	4010
296	4004	4010
297	4009	4012
298	4009	4005
299	4009	4010
300	4009	4010
301	4007	4007
302	4011	4010
303	4009	4012
304	4002	4012
305	4009	4012
306	4009	4003
307	4011	4010
308	4011	4010
309	4002	4012
310	4009	4012
311	4009	4011
312	4005	4010
313	4011	4010
314	4011	4004
315	4011	4010
316	4009	4012
317	4002	4012
318	4009	4010
319	4011	4005
320	4011	4010
321	4011	4010
322	4006	4008
323	4009	4012
324	4009	4010
325	4002	4010
326	4011	4010
327	4011	4003
328	4009	4012
329	4009	4012
330	4002	4012
331	4009	4010
332	4011	4006
333	4009	4010
334	4009	4012
335	4008	4007
336	4009	4012
337	4009	4010
338	4004	4010
339	4011	4010
340	4011	4003
341	4009	4012
342	4009	4012
343	4002	4010
344	4011	4010
345	4011	4005
346	4010	4010
347	4009	4012
348	4007	4007
349	4009	4010
350	4010	4011
351	4004	4010
352	4011	4010
353	4009	4010
354	4005	4012
355	4009	4012
356	4009	4003
357	4011	4010
358	4011	4010
359	4008	4005
360	4009	4012
361	4009	4012
362	4001	4010
363	4011	4010
364	4011	4010
365	4004	4010
366	4009	4012
367	4009	4006
368	4009	4010
369	4011	4010
370	4011	4003
371	4011	4010
372	4009	4012
373	4002	4011
374	4009	4010
375	4009	4010
376	4004	4010
377	4011	4010
378	4009	4006
379	4009	4012
380	4009	4012
381	4009	4003
382	4011	4010
383	4011	4010
384	4004	4010
385	4009	4012
386	4009	4012
387	4002	4010
388	4011	4010
389	4011	4003
390	4011	4010
391	4009	4012
392	4007	4007
393	4009	4012
394	4009	4010
395	4004	4010
396	4011	4010
397	4009	4008
398	4007	4012
399	4009	4012
400	4009	4003
401	4011	4010
402	4011	4010
403	4004	4010
404	4009	4012
405	4009	4012
406	4003	4010
407	4011	4010
408	4011	4003
409	4011	4010
410	4009	4012
411	4004	4009
412	4009	4012
413	4009	4010
414	4004	4010
415	4011	4010
416	4009	4005
417	4009	4012
418	4009	4012
419	4007	4005
420	4011	4010
421	4011	4010
422	4004	4010
423	4009	4012
424	4009	4005
425	4009	4010
426	4011	4010
427	4009	4004
428	4011	4010
429	4009	4012
430	4002	4012
431	4009	4010
432	4009	4004
433	4011	4010
434	4011	4010
435	4007	4007
436	4009	4012
437	4009	4012
438	4002	4010
439	4011	4010
440	4011	4003
441	4009	4012
442	4009	4012
443	4006	4008
444	4009	4010
445	4011	4010
446	4004	4010
447	4011	4010
448	4009	4005
449	4009	4012
450	4009	4010
451	4006	4008
452	4011	4010
453	4011	4010
454	4003	4012
455	4009	4012
456	4009	4005
457	4009	4010
458	4011	4010
459	4004	4010
460	4009	4012
461	4009	4009
462	4006	4012
463	4009	4010
464	4011	4004
465	4011	4010
466	4011	4010
467	4002	4012
468	4009	4012
469	4009	4003
470	4011	4010
471	4011	4010
472	4007	4007
473	4009	4012
474	4009	4012
475	4003	4010
476	4009	4010
477	4011	4003
478	4011	4010
479	4009	4012
480	4002	4012
481	4009	4012
482	4009	4005
483	4011	4011
484	4011	4010
485	4006	4008
486	4009	4012
487	4009	4012
488	4003	4010
489	4011	4010
490	4011	4003
491	4011	4010
492	4009	4012
493	4003	4012
494	4009	4010
495	4011	4004
496	4011	4010
497	4011	4010
498	4005	4009
499	4009	4012
500	4009	4010
501	4004	4010
502	4011	4010
503	4011	4003
504	4009	4012
505	4009	4012
506	4002	4012
507	4009	4010
508	4011	4003
509	4011	4010
510	4011	4010
511	4002	4012
512	4009	4012
513	4009	4005
514	4010	4010
515	4011	4010
516	4008	4006
517	4009	4012
518	4009	4012
519	4004	4010
520	4009	4010
521	4011	4004
522	4011	4010
523	4009	4012
524	4002	4012
525	4009	4012
526	4009	4004
527	4011	4010
528	4011	4010
529	4002	4012
530	4009	4012
531	4009	4005
532	4009	4010
533	4011	4010
534	4005	4009
535	4011	4010
536	4009	4008
537	4008	4012
538	4009	4010
539	4008	4006
540	4011	4010
541	4011	4009
542	4005	4012
543	4009	4012
544	4009	4003
545	4009	4010
546	4011	4010
547	4004	4010
548	4009	4012
549	4009	4005
550	4009	4012
551	4009	4010
552	4004	4010
553	4011	4010
554	4011	4003
555	4009	4012
556	4009	4014
557	4002	4011
558	4011	4010
559	4011	4003
560	4011	4010
561	4009	4012
562	4002	4012
563	4009	4010
564	4009	4003
565	4011	4010
566	4011	4010
567	4003	4012
568	4009	4012
569	4009	4005
