ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	33860	33731	33858	129	2	63	767
2	33862	33707	33858	155	4	68	749
3	33865	33720	33863	145	2	59	686
4	33802	33649	33801	153	1	61	610
5	33884	33782	33885	102	-1	25	281
6	33877	33729	33874	148	3	34	381
7	33643	33452	33641	191	2	19	237
8	33246	33240	33247	6	-1	6	164
9	33274	33242	33272	32	2	13	169
10	33255	33243	33256	12	-1	9	171
11	33251	33239	33251	12	0	7	159
12	33169	33157	33170	12	-1	7	168
13	33272	33245	33273	27	-1	11	163
14	33260	33245	33261	15	-1	9	167
15	33241	33237	33242	4	-1	5	160
16	33262	33245	33263	17	-1	8	166
17	33248	33244	33249	4	-1	5	167
18	33251	33240	33252	11	-1	7	160
19	33255	33242	33256	13	-1	7	169
20	33184	33172	33185	12	-1	7	159
21	33469	33291	33463	178	6	51	386
22	33243	33236	33243	7	0	7	159
23	33262	33247	33263	15	-1	10	169
24	33246	33241	33246	5	0	5	161
25	33252	33242	33253	10	-1	8	162
26	33255	33243	33256	12	-1	9	167
27	33252	33240	33253	12	-1	8	160
28	33259	33243	33257	16	2	7	168
29	33165	33161	33166	4	-1	5	157
30	33249	33231	33250	18	-1	9	168
31	33245	33241	33246	4	-1	5	159
32	33263	33244	33263	19	0	8	169
33	33254	33242	33255	12	-1	7	166
34	33251	33240	33250	11	1	7	163
35	33260	33241	33261	19	-1	11	166
36	33244	33240	33245	4	-1	5	161
37	33189	33170	33191	19	-2	10	167
38	33258	33239	33259	19	-1	8	161
39	33260	33241	33260	19	0	11	167
40	33255	33244	33256	11	-1	7	163
41	33253	33242	33254	11	-1	6	163
42	33262	33243	33263	19	-1	10	166
43	33244	33240	33245	4	-1	5	162
44	33183	33166	33185	17	-2	8	164
45	33244	33240	33245	4	-1	5	162
46	33262	33241	33262	21	0	10	166
47	33512	33320	33507	192	5	58	419
48	33251	33241	33251	10	0	7	161
49	33266	33245	33267	21	-1	11	166
50	33244	33240	33246	4	-2	5	163
51	33213	33191	33213	22	0	9	164
52	33220	33215	33221	5	-1	6	164
53	33260	33243	33260	17	0	9	166
54	33360	33266	33359	94	1	15	191
55	33249	33239	33249	10	0	6	158
56	33272	33246	33272	26	0	11	171
57	33252	33242	33254	10	-2	8	161
58	33261	33244	33262	17	-1	9	168
59	33157	33151	33158	6	-1	7	162
60	33261	33243	33262	18	-1	9	167
61	33256	33247	33258	9	-2	7	169
62	33249	33239	33249	10	0	7	158
63	33256	33246	33257	10	-1	7	169
64	33251	33241	33251	10	0	6	160
65	33260	33241	33261	19	-1	9	170
66	33244	33238	33244	6	0	5	158
67	33173	33157	33174	16	-1	9	168
68	33246	33240	33247	6	-1	6	159
69	33251	33242	33252	9	-1	7	162
70	33254	33242	33256	12	-2	7	166
71	33255	33241	33254	14	1	7	161
72	33260	33246	33260	14	0	7	169
73	33511	33315	33506	196	5	50	413
74	33262	33245	33263	17	-1	9	169
75	33215	33194	33216	21	-1	11	180
76	33368	33216	33368	152	0	12	169
77	33253	33242	33255	11	-2	7	165
78	33253	33241	33252	12	1	8	164
79	33398	33252	33398	146	0	10	164
80	33245	33239	33245	6	0	5	162
81	33262	33245	33262	17	0	9	167
82	33381	33245	33380	136	1	7	161
83	33261	33242	33262	19	-1	10	167
84	33157	33143	33157	14	0	9	166
85	33253	33241	33252	12	1	8	162
86	33399	33253	33401	146	-2	12	166
87	33247	33242	33248	5	-1	5	163
88	33263	33247	33263	16	0	8	165
89	33385	33253	33387	132	-2	9	165
90	33263	33246	33263	17	0	9	165
91	33270	33243	33268	27	2	11	171
92	33390	33252	33391	138	-1	8	160
93	33192	33178	33193	14	-1	8	167
94	33232	33227	33232	5	0	5	160
95	33261	33239	33261	22	0	11	166
96	33382	33253	33383	129	-1	7	163
97	33263	33242	33264	21	-1	10	166
98	33253	33240	33254	13	-1	9	169
99	33395	33254	33395	141	0	8	159
100	33469	33309	33459	160	10	35	358
101	33163	33159	33164	4	-1	5	159
102	33394	33250	33394	144	0	10	169
103	33244	33238	33245	6	-1	6	161
104	33263	33238	33262	25	1	11	167
105	33255	33244	33255	11	0	7	167
106	33392	33249	33393	143	-1	10	159
107	33260	33245	33260	15	0	7	167
108	33258	33245	33259	13	-1	8	160
109	33365	33220	33367	145	-2	10	169
110	33191	33186	33191	5	0	5	159
111	33264	33245	33264	19	0	9	168
112	33393	33253	33395	140	-2	10	164
113	33253	33241	33253	12	0	8	162
114	33252	33239	33252	13	0	8	167
115	33389	33250	33389	139	0	11	161
116	33264	33249	33265	15	-1	8	167
117	33244	33240	33245	4	-1	5	160
118	33195	33173	33194	22	1	9	169
119	33377	33230	33378	147	-1	10	164
120	33251	33241	33249	10	2	4	163
121	33252	33243	33253	9	-1	6	166
122	33392	33245	33392	147	0	8	163
123	33261	33243	33261	18	0	9	164
124	33247	33241	33248	6	-1	7	163
125	33402	33260	33403	142	-1	9	167
126	33511	33323	33503	188	8	49	416
127	33181	33169	33181	12	0	5	160
128	33225	33209	33223	16	2	7	166
129	33391	33250	21508227	140	-21474836	9	162
130	33260	33244	33260	16	0	8	165
131	33242	33238	33244	4	-2	5	163
132	33401	33254	33400	147	1	10	166
