WL	MIN_pt	MAX_pt	MED_pt	AVG_pt	SD_pt
1	1034	1094	1039.0	1039.1  2.39	
2	2068	2157	2078.0	2078.0	4.33
4	4136	4242	4156.0	4155.1	7.52
8	8275	8396	8310	8309.2	10.66
16	16548	16743	16620	16616.3	21.13
32	33105	33782	33242	33239.3	49.76
64	66200	67238	66483	66473.9	54.48
