ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	4157	4156	4159	1	-2	3	146
2	4156	4156	4157	0	-1	2	147
3	4169	4159	4170	10	-1	6	154
4	4155	4154	4155	1	0	2	145
5	4157	4155	4157	2	0	3	148
6	4158	4153	4158	5	0	4	149
7	4154	4153	4156	1	-2	4	147
8	4156	4155	4157	1	-1	2	147
9	4158	4157	4159	1	-1	3	149
10	4155	4155	4157	0	-2	2	147
11	4158	4156	4158	2	0	3	146
12	4157	4156	4158	1	-1	3	148
13	4157	4156	4159	1	-2	3	145
14	4156	4156	4157	0	-1	2	146
15	4159	4157	4159	2	0	3	147
16	4155	4156	4157	-1	-2	2	146
17	4158	4157	4160	1	-2	3	147
18	4163	4158	4163	5	0	4	149
19	4158	4157	4160	1	-2	3	146
20	4156	4156	4157	0	-1	2	147
21	4159	4158	4160	1	-1	3	148
22	4152	4152	4153	0	-1	2	147
23	4153	4152	4154	1	-1	3	146
24	4154	4154	4156	0	-2	2	148
25	4157	4156	4159	1	-2	3	147
26	4166	4160	4167	6	-1	3	153
27	4157	4156	4159	1	-2	3	148
28	4155	4155	4156	0	-1	2	146
29	4158	4156	4158	2	0	3	147
30	4156	4156	4157	0	-1	2	147
31	4157	4156	4158	1	-1	3	146
32	4155	4155	4156	0	-1	2	147
33	4158	4157	4159	1	-1	3	148
34	4156	4156	4157	0	-1	2	147
35	4159	4157	4161	2	-2	5	147
36	4156	4156	4157	0	-1	2	148
37	4158	4157	4159	1	-1	3	147
38	4164	4155	4165	9	-1	4	155
39	4297	4164	4299	133	-2	6	146
40	4156	4156	4157	0	-1	2	146
41	4162	4155	4163	7	-1	4	147
42	4156	4156	4157	0	-1	2	148
43	4156	4156	4157	0	-1	2	146
44	4156	4154	4155	2	1	2	146
45	4156	4156	4157	0	-1	2	146
46	4155	4155	4156	0	-1	2	146
47	4207	4170	4208	37	-1	16	197
48	4301	4183	4298	118	3	21	231
49	4157	4157	4158	0	-1	2	149
50	4169	4157	4168	12	1	6	154
51	4156	4156	4157	0	-1	2	147
52	4158	4156	4160	2	-2	4	148
53	4158	4152	4158	6	0	4	148
54	4153	4152	4154	1	-1	3	146
55	4156	4156	4157	0	-1	2	146
56	4158	4157	4159	1	-1	3	146
57	4155	4155	4156	0	-1	2	145
58	4157	4157	4159	0	-2	3	147
59	4157	4155	4158	2	-1	4	147
60	4157	4156	4158	1	-1	3	146
61	4155	4155	4156	0	-1	2	147
62	4169	4160	4170	9	-1	6	154
63	4155	4155	4156	0	-1	2	145
64	4158	4157	4159	1	-1	3	148
65	4162	4155	4164	7	-2	4	149
66	4158	4155	4157	3	1	3	147
67	4155	4155	4157	0	-2	3	147
68	4153	4152	4154	1	-1	3	149
69	4154	4153	4153	1	1	1	147
70	4158	4157	4159	1	-1	3	146
71	4158	4157	4159	1	-1	3	149
72	4157	4156	4158	1	-1	3	145
73	4155	4155	4157	0	-2	2	146
74	4168	4157	4168	11	0	7	153
75	4156	4156	4157	0	-1	2	146
76	4158	4157	4159	1	-1	3	147
77	4162	4158	4163	4	-1	4	149
78	4158	4156	4159	2	-1	3	146
79	4155	4155	4156	0	-1	2	147
80	4158	4157	4159	1	-1	3	148
81	4154	4154	4155	0	-1	2	147
82	4154	4152	4154	2	0	3	146
83	4155	4155	4156	0	-1	2	148
84	4158	4157	4159	1	-1	3	147
85	4156	4157	4158	-1	-2	2	147
86	4157	4157	4159	0	-2	3	148
87	4156	4156	4157	0	-1	2	146
88	4158	4157	4159	1	-1	3	147
89	4162	4156	4162	6	0	4	147
90	4158	4157	4159	1	-1	3	146
91	4156	4155	4156	1	0	2	147
92	4158	4157	4159	1	-1	3	148
93	4158	4157	4158	1	0	2	147
94	4159	4157	4161	2	-2	4	147
95	4152	4151	4153	1	-1	3	148
96	4155	4153	4155	2	0	3	147
97	4162	4153	4163	9	-1	5	153
98	4150	4149	4151	1	-1	3	146
99	4142	4142	4143	0	-1	2	147
100	4143	4142	4145	1	-2	3	147
101	4139	4139	4141	0	-2	2	148
102	4139	4138	4140	1	-1	3	146
103	4137	4137	4138	0	-1	2	146
104	4139	4137	4139	2	0	3	146
105	4137	4137	4138	0	-1	2	145
106	4140	4138	4141	2	-1	4	147
107	4137	4137	4138	0	-1	2	147
108	4139	4138	4140	1	-1	3	148
109	4149	4139	4148	10	1	4	153
110	4139	4138	4141	1	-2	4	148
111	4137	4137	4138	0	-1	2	147
112	4139	4138	4141	1	-2	3	148
113	4141	4142	4143	-1	-2	2	146
114	4141	4141	4142	0	-1	2	146
115	4142	4142	4144	0	-2	2	147
116	4156	4156	4158	0	-2	2	148
117	4155	4154	4156	1	-1	2	146
118	4156	4155	4158	1	-2	3	146
119	4156	4156	4157	0	-1	2	147
120	4156	4156	4157	0	-1	2	146
121	4162	4153	4163	9	-1	4	154
122	4153	4153	4155	0	-2	3	147
123	4156	4156	4158	0	-2	3	149
124	4162	4155	4161	7	1	3	148
125	4156	4156	4158	0	-2	2	147
126	4156	4156	4158	0	-2	2	148
127	4158	4158	4160	0	-2	3	148
128	4155	4155	4156	0	-1	2	146
129	4158	4157	4159	1	-1	3	145
130	4157	4155	4158	2	-1	4	146
131	4158	4157	4159	1	-1	3	148
132	4156	4156	4157	0	-1	2	147
133	4166	4157	4167	9	-1	5	153
134	4151	4151	4153	0	-2	2	147
135	4157	4156	4159	1	-2	3	146
136	4162	4156	4163	6	-1	4	148
137	4157	4157	4159	0	-2	3	146
138	4156	4156	4157	0	-1	2	148
139	4159	4158	4160	1	-1	3	149
140	4156	4156	4157	0	-1	2	147
141	4157	4157	4159	0	-2	3	147
142	4157	4156	4158	1	-1	3	149
143	4158	4157	4159	1	-1	3	147
144	4156	4156	4157	0	-1	2	146
145	4166	4159	4167	7	-1	5	152
146	4151	4151	4152	0	-1	2	145
147	4158	4157	4160	1	-2	3	147
148	4162	4154	4160	8	2	3	147
149	4157	4156	4158	1	-1	3	146
150	4300	4163	4301	137	-1	4	147
151	4159	4157	4159	2	0	3	149
152	4156	4156	4157	0	-1	2	146
153	4158	4157	4160	1	-2	3	148
154	4156	4156	4158	0	-2	2	148
155	4158	4157	4159	1	-1	3	147
156	4156	4156	4157	0	-1	2	147
157	4164	4156	4165	8	-1	6	152
158	4154	4155	4156	-1	-2	2	147
159	4158	4157	4159	1	-1	3	147
160	4164	4156	4165	8	-1	4	148
161	4158	4157	4159	1	-1	3	146
162	4156	4156	4157	0	-1	2	147
163	4157	4157	4159	0	-2	3	147
164	4155	4155	4156	0	-1	2	146
165	4159	4157	4160	2	-1	4	147
166	4170	4158	4170	12	0	5	150
167	4157	4156	4159	1	-2	4	147
168	4153	4153	4154	0	-1	2	147
169	4154	4153	4155	1	-1	3	149
170	4156	4156	4157	0	-1	2	147
171	4158	4157	4159	1	-1	3	149
172	4162	4155	4162	7	0	4	146
173	4158	4156	4158	2	0	3	146
174	4154	4155	4156	-1	-2	2	147
175	4157	4156	4158	1	-1	3	148
176	4155	4155	4156	0	-1	2	146
177	4159	4157	4160	2	-1	4	146
178	4155	4154	4155	1	0	2	146
179	4153	4153	4154	0	-1	2	145
180	4162	4156	4163	6	-1	5	153
181	4155	4155	4156	0	-1	2	147
182	4155	4155	4156	0	-1	2	148
183	4156	4156	4157	0	-1	2	147
184	4156	4156	4157	0	-1	2	148
185	4156	4156	4157	0	-1	2	147
186	4156	4156	4157	0	-1	2	148
187	4156	4156	4156	0	0	1	146
188	4155	4155	4157	0	-2	2	145
189	4156	4155	4157	1	-1	3	146
190	4154	4154	4155	0	-1	2	148
191	4151	4152	4153	-1	-2	2	147
192	4169	4159	4169	10	0	5	153
193	4156	4156	4157	0	-1	2	147
194	4158	4157	4159	1	-1	3	146
195	4162	4156	4162	6	0	3	147
196	4158	4157	4159	1	-1	3	146
197	4156	4156	4157	0	-1	2	149
198	4413	4209	4414	204	-1	4	150
199	4353	4218	4353	135	0	5	148
200	4158	4157	4160	1	-2	3	147
201	4153	4151	4155	2	-2	4	149
202	4155	4154	4157	1	-2	4	147
203	4156	4156	4157	0	-1	2	146
204	4168	4162	4170	6	-2	5	155
205	4298	4162	4300	136	-2	4	145
206	4158	4156	4158	2	0	3	146
207	4162	4155	4163	7	-1	4	147
208	4158	4157	4159	1	-1	3	146
209	4156	4155	4157	1	-1	2	147
210	4158	4157	4160	1	-2	3	149
211	4154	4154	4156	0	-2	2	146
212	4154	4153	4155	1	-1	3	147
213	4157	4157	4158	0	-1	2	149
214	4158	4156	4158	2	0	3	148
215	4155	4155	4157	0	-2	3	147
216	4168	4164	4170	4	-2	5	152
217	4155	4155	4156	0	-1	2	147
218	4158	4157	4160	1	-2	3	147
219	4162	4156	4163	6	-1	4	148
220	4159	4157	4158	2	1	2	146
221	4156	4156	4157	0	-1	2	147
222	4154	4152	4154	2	0	3	147
223	4154	4154	4155	0	-1	2	146
224	4158	4157	4160	1	-2	4	147
225	4410	4231	4404	179	6	47	400
226	4158	4157	4159	1	-1	3	148
227	4155	4156	4157	-1	-2	2	147
228	4158	4156	4158	2	0	3	148
229	4156	4156	4157	0	-1	2	147
230	4156	4155	4157	1	-1	2	148
231	4163	4155	4161	8	2	3	146
232	4156	4155	4155	1	1	1	146
233	4155	4156	4157	-1	-2	2	147
234	4153	4152	4153	1	0	2	148
235	4151	4151	4152	0	-1	2	147
236	4152	4151	4154	1	-2	3	147
237	4154	4154	4155	0	-1	2	147
238	4156	4155	4156	1	0	2	146
239	4258	4171	4258	87	0	7	154
240	4280	4174	4279	106	1	3	148
241	4158	4157	4159	1	-1	3	149
242	4162	4157	4162	5	0	2	148
243	4158	4157	4159	1	-1	3	147
244	4155	4155	4156	0	-1	2	148
245	4158	4157	4159	1	-1	3	149
246	4156	4156	4157	0	-1	2	147
247	4158	4156	4159	2	-1	3	146
248	4157	4154	4159	3	-2	5	146
249	4157	4156	4159	1	-2	4	145
250	4156	4156	4157	0	-1	2	147
251	4168	4161	4169	7	-1	5	153
252	4156	4155	4157	1	-1	2	146
253	4157	4156	4158	1	-1	3	147
254	4162	4155	4162	7	0	4	148
255	4158	4157	4159	1	-1	3	145
256	4156	4156	4157	0	-1	2	148
257	4157	4156	4159	1	-2	3	149
258	4151	4151	4152	0	-1	2	148
259	4154	4152	4153	2	1	2	147
260	4155	4154	4156	1	-1	3	149
261	4302	4167	4302	135	0	5	147
262	4155	4154	4155	1	0	2	146
263	4169	4162	4170	7	-1	5	154
264	4155	4155	4157	0	-2	2	145
265	4158	4157	4159	1	-1	3	146
266	4161	4154	4162	7	-1	4	147
267	4158	4157	4159	1	-1	3	146
268	4155	4155	4157	0	-2	3	147
269	4158	4157	4159	1	-1	3	149
270	4155	4155	4156	0	-1	2	146
271	4158	4157	4159	1	-1	3	147
272	4156	4156	4157	0	-1	2	148
273	4158	4157	4159	1	-1	3	147
274	4156	4156	4157	0	-1	2	146
275	4169	4157	4170	12	-1	7	154
276	4156	4156	4157	0	-1	2	147
277	4158	4157	4159	1	-1	3	147
278	4162	4156	4162	6	0	4	148
279	4154	4153	4155	1	-1	3	146
280	4151	4151	4152	0	-1	2	147
281	4155	4155	4157	0	-2	3	147
282	4155	4155	4156	0	-1	2	146
283	4159	4157	4160	2	-1	4	147
284	4171	4166	4172	5	-1	5	150
285	4159	4158	4160	1	-1	3	147
286	4156	4156	4157	0	-1	2	147
287	4169	4159	4170	10	-1	6	154
288	4156	4155	4157	1	-1	3	147
289	4158	4157	4159	1	-1	3	147
290	4162	4156	4163	6	-1	4	146
291	4158	4157	4159	1	-1	3	147
292	4156	4156	4157	0	-1	2	147
293	4158	4157	4159	1	-1	3	148
294	4155	4155	4156	0	-1	2	146
295	4159	4156	4158	3	1	3	146
296	4155	4155	4157	0	-2	2	146
297	4157	4156	4158	1	-1	3	145
298	4153	4153	4154	0	-1	2	147
299	4162	4155	4163	7	-1	5	153
300	4153	4153	4154	0	-1	2	148
301	4156	4156	4157	0	-1	2	147
302	4164	4158	4164	6	0	4	148
303	4156	4156	4158	0	-2	2	148
304	4156	4155	4157	1	-1	3	148
305	4156	4156	4157	0	-1	2	147
306	4156	4156	4157	0	-1	2	145
307	4157	4156	4158	1	-1	3	146
308	4156	4156	4157	0	-1	2	148
309	4156	4156	4158	0	-2	2	147
310	4158	4157	4159	1	-1	3	147
311	4156	4156	4158	0	-2	2	147
312	4158	4157	4159	1	-1	3	146
313	4156	4154	4155	2	1	2	147
314	4163	4155	4164	8	-1	5	146
315	4155	4155	4156	0	-1	2	149
316	4299	4162	4298	137	1	5	148
317	4151	4151	4152	0	-1	2	147
318	4154	4153	4155	1	-1	3	148
319	4157	4156	4158	1	-1	3	149
320	4157	4156	4158	1	-1	3	147
321	4155	4155	4156	0	-1	2	146
322	4168	4159	4169	9	-1	5	152
323	4154	4154	4155	0	-1	2	145
324	4157	4156	4159	1	-2	4	147
325	4155	4155	4156	0	-1	2	147
326	4157	4156	4158	1	-1	3	146
327	4168	4155	4156	13	12	2	147
328	4158	4157	4159	1	-1	3	148
329	4154	4154	4155	0	-1	2	145
330	4153	4152	4154	1	-1	3	148
331	4151	4149	4152	2	-1	4	149
332	4144	4142	4144	2	0	3	147
333	4142	4142	4143	0	-1	2	147
334	4156	4148	4156	8	0	5	155
335	4142	4142	4143	0	-1	2	147
336	4144	4143	4145	1	-1	3	146
337	4148	4144	4149	4	-1	3	146
338	4144	4143	4145	1	-1	3	145
339	4142	4143	4144	-1	-2	2	147
340	4144	4143	4145	1	-1	3	147
341	4138	4137	4138	1	0	2	146
342	4139	4138	4140	1	-1	3	147
343	4140	4139	4141	1	-1	3	149
344	4139	4138	4141	1	-2	3	146
345	4138	4138	4139	0	-1	2	147
346	4150	4142	4151	8	-1	5	154
347	4138	4137	4138	1	0	2	147
348	4140	4139	4141	1	-1	3	146
349	4144	4137	4145	7	-1	4	148
350	4140	4139	4141	1	-1	3	147
351	4137	4137	4138	0	-1	2	146
352	4140	4139	4141	1	-1	3	148
353	4152	4152	4153	0	-1	2	145
354	4158	4157	4159	1	-1	3	146
355	4156	4156	4157	0	-1	2	147
356	4158	4157	4159	1	-1	3	146
357	4156	4157	4158	-1	-2	2	147
358	4169	4159	4171	10	-2	6	155
359	4156	4156	4158	0	-2	2	147
360	4158	4157	4160	1	-2	3	147
361	4163	4156	4163	7	0	3	148
362	4158	4157	4159	1	-1	3	147
363	4155	4155	4157	0	-2	2	147
364	4158	4157	4159	1	-1	3	146
365	4151	4151	4153	0	-2	2	147
366	4154	4152	4156	2	-2	5	147
367	4156	4154	4157	2	-1	4	148
368	4158	4156	4158	2	0	3	146
369	4155	4155	4156	0	-1	2	147
370	4168	4159	4169	9	-1	7	153
371	4155	4155	4156	0	-1	2	146
372	4300	4167	4302	133	-2	5	147
373	4162	4158	4163	4	-1	4	147
374	4158	4157	4159	1	-1	3	148
375	4156	4155	4156	1	0	2	147
376	4156	4156	4158	0	-2	2	148
377	4156	4156	4157	0	-1	2	147
378	4157	4156	4159	1	-2	3	148
379	4155	4155	4157	0	-2	2	147
380	4150	4150	4151	0	-1	2	145
381	4153	4154	4155	-1	-2	2	146
382	4167	4158	4168	9	-1	4	154
383	4158	4157	4159	1	-1	3	147
384	4156	4156	4156	0	0	1	147
385	4164	4156	4163	8	1	5	147
386	4156	4156	4157	0	-1	2	146
387	4158	4157	4160	1	-2	3	147
388	4155	4155	4156	0	-1	2	146
389	4158	4158	4160	0	-2	3	149
390	4157	4156	4158	1	-1	3	148
391	4158	4157	4159	1	-1	3	147
392	4156	4156	4157	0	-1	2	148
393	4158	4156	4159	2	-1	3	149
394	4151	4151	4153	0	-2	2	147
395	4154	4153	4156	1	-2	3	146
396	4155	4155	4156	0	-1	2	146
397	4157	4156	4158	1	-1	3	145
398	4155	4155	4156	0	-1	2	147
399	4158	4156	4158	2	0	3	147
400	4155	4155	4156	0	-1	2	146
401	4157	4156	4158	1	-1	3	147
402	4408	4232	4400	176	8	46	382
403	4157	4156	4159	1	-2	3	146
404	4156	4156	4158	0	-2	2	147
405	4169	4162	4171	7	-2	5	154
406	4155	4155	4157	0	-2	3	147
407	4156	4155	4158	1	-2	3	146
408	4158	4153	4159	5	-1	4	148
409	4158	4157	4159	1	-1	3	147
