ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	16620	16618	16621	2	-1	4	155
2	16632	16623	16632	9	0	6	158
3	16630	16622	16631	8	-1	8	151
4	16616	16615	16617	1	-1	3	153
5	16618	16605	16620	13	-2	7	160
6	16629	16621	16630	8	-1	6	152
7	16622	16620	16623	2	-1	4	153
8	16620	16619	16621	1	-1	3	152
9	16614	16602	16613	12	1	7	161
10	16631	16619	16629	12	2	7	152
11	16622	16620	16623	2	-1	4	152
12	16765	16622	16767	143	-2	7	158
13	16627	16618	16626	9	1	6	154
14	16622	16620	16623	2	-1	4	154
15	16622	16619	16622	3	0	4	150
16	16609	16599	16610	10	-1	5	157
17	16888	16697	16877	191	11	55	407
18	16623	16621	16624	2	-1	4	155
19	16634	16625	16636	9	-2	7	158
20	16608	16599	16609	9	-1	7	151
21	16620	16617	16618	3	2	2	152
22	16623	16620	16623	3	0	4	155
23	16630	16621	16631	9	-1	8	153
24	16598	16596	16598	2	0	3	152
25	16620	16619	16622	1	-2	4	153
26	16634	16624	16635	10	-1	7	160
27	16631	16622	16632	9	-1	8	153
28	16743	16604	16744	139	-1	5	152
29	16630	16625	16632	5	-2	5	157
30	16630	16622	16631	8	-1	7	155
31	16621	16620	16623	1	-2	4	154
32	16600	16598	16601	2	-1	4	152
33	16631	16620	16632	11	-1	6	158
34	16631	16622	16631	9	0	7	154
35	16622	16619	16622	3	0	4	154
36	16611	16602	16611	9	0	5	156
37	16629	16621	16629	8	0	7	153
38	16622	16620	16623	2	-1	4	152
39	16623	16620	16624	3	-1	5	155
40	16618	16602	16618	16	0	9	158
41	16621	16618	16620	3	1	3	151
42	16621	16618	16621	3	0	4	152
43	16634	16625	16635	9	-1	6	161
44	16752	16609	16753	143	-1	8	154
45	16620	16618	16620	2	0	3	151
46	16622	16620	16623	2	-1	4	151
47	16629	16621	16630	8	-1	7	154
48	16600	16598	16602	2	-2	5	155
49	16619	16618	16620	1	-1	3	152
50	16633	16620	16632	13	1	7	157
51	16645	16620	16644	25	1	9	155
52	16600	16599	16602	1	-2	4	154
53	16632	16624	16633	8	-1	5	158
54	16631	16622	16632	9	-1	7	153
55	16622	16620	16622	2	0	3	152
56	16599	16598	16601	1	-2	4	155
57	16632	16622	16633	10	-1	6	158
58	16630	16621	16630	9	0	7	152
59	16621	16619	16622	2	-1	4	151
60	17236	16715	17233	521	3	12	161
61	16630	16621	16630	9	0	7	154
62	16622	16620	16623	2	-1	4	150
63	16622	16620	16623	2	-1	4	151
64	16619	16604	16620	15	-1	10	159
65	16622	16619	16623	3	-1	5	157
66	16622	16620	16623	2	-1	4	149
67	16632	16620	16634	12	-2	7	157
68	16890	16703	16882	187	8	51	404
69	16593	16592	16594	1	-1	3	155
70	16631	16621	16632	10	-1	6	159
71	16629	16622	16631	7	-2	7	152
72	16733	16639	16733	94	0	6	153
73	16623	16619	16621	4	2	3	154
74	16605	16593	16607	12	-2	6	159
75	16630	16621	16631	9	-1	7	152
76	16766	16632	16767	134	-1	6	152
77	16633	16621	16633	12	0	7	159
78	16628	16621	16630	7	-2	7	154
79	16593	16591	16595	2	-2	5	151
80	16622	16620	16624	2	-2	4	152
81	16633	16624	16633	9	0	6	160
82	16621	16619	16620	2	1	2	155
83	16621	16620	16623	1	-2	4	150
84	16605	16596	16606	9	-1	6	156
85	16645	16626	16645	19	0	9	154
86	16621	16620	16622	1	-1	3	155
87	16622	16620	16623	2	-1	4	153
88	16639	16621	16640	18	-1	9	157
89	16594	16591	16595	3	-1	5	152
90	16620	16619	16622	1	-2	4	154
91	16633	16626	16634	7	-1	5	160
92	16774	16628	16776	146	-2	10	152
93	16621	16620	16623	1	-2	4	151
94	16603	16592	16605	11	-2	6	161
95	16630	16621	16631	9	-1	7	155
96	16622	16620	16623	2	-1	4	152
97	16622	16620	16623	2	-1	4	151
98	16631	16620	16632	11	-1	8	160
99	16603	16594	16602	9	1	7	153
100	16622	16620	16623	2	-1	4	152
101	16634	16622	16634	12	0	7	159
102	16629	16618	16627	11	2	6	152
103	16622	16620	16623	2	-1	4	156
104	16594	16592	16595	2	-1	4	152
105	16634	16623	16635	11	-1	8	158
106	16619	16618	16620	1	-1	3	152
107	16622	16620	16623	2	-1	4	154
108	16776	16626	16777	150	-1	9	159
109	16604	16595	16605	9	-1	7	151
110	16620	16619	16621	1	-1	3	151
111	16620	16618	16620	2	0	3	153
112	16640	16623	16641	17	-1	9	161
113	16622	16619	16622	3	0	4	152
114	16609	16608	16611	1	-2	3	151
115	16617	16609	16617	8	0	4	158
116	16632	16622	16633	10	-1	8	155
117	16622	16620	16623	2	-1	4	154
118	16631	16621	16632	10	-1	5	158
119	16889	16701	16878	188	11	55	406
120	16598	16595	16598	3	0	4	154
121	16623	16621	16624	2	-1	4	153
122	16633	16620	16632	13	1	7	158
123	16652	16634	16654	18	-2	12	172
124	16705	16624	16706	81	-1	6	153
125	16605	16594	16607	11	-2	9	160
126	16633	16622	16634	11	-1	7	151
127	16622	16619	16622	3	0	4	152
128	16622	16620	16623	2	-1	4	154
129	16641	16623	16641	18	0	10	160
130	16593	16591	16594	2	-1	4	150
131	16621	16619	16622	2	-1	4	153
132	16632	16623	16633	9	-1	7	158
133	16633	16623	16631	10	2	5	155
134	16622	16620	16623	2	-1	4	154
135	16604	16603	16606	1	-2	3	151
136	16619	16611	16620	8	-1	6	152
137	16622	16621	16624	1	-2	4	154
