RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
17640	1	64139	64129	64340	10	211	7	94
17640	2	64136	64129	64337	7	208	6	94
17640	3	64137	64129	64335	8	206	6	94
17640	4	64140	64134	64340	6	206	6	94
17640	5	64160	64154	64359	6	205	5	94
17640	6	64139	64130	64340	9	210	6	94
17640	7	64138	64133	64338	5	205	5	94
17640	8	64142	64133	64342	9	209	6	94
17640	9	64140	64132	64341	8	209	7	94
17640	10	64164	64155	64364	9	209	6	94
17640	11	64135	64128	64336	7	208	6	94
17640	12	64140	64130	64342	10	212	6	94
17640	13	64136	64130	64336	6	206	6	94
17640	14	64137	64131	64338	6	207	5	94
17640	15	64152	64144	64353	8	209	6	94
17640	16	64151	64143	64351	8	208	6	94
17640	17	64139	64131	64338	8	207	6	94
17640	18	64136	64131	64336	5	205	5	94
17640	19	64139	64132	64341	7	209	6	94
17640	20	64137	64129	64337	8	208	6	94
17640	21	64164	64155	64366	9	211	6	94
17640	22	64137	64131	64339	6	208	6	94
17640	23	64139	64132	64339	7	207	6	94
17640	24	64137	64130	64339	7	209	7	94
17640	25	64136	64131	64336	5	205	5	94
17640	26	64144	64137	64345	7	208	7	94
17640	27	64158	64150	64358	8	208	6	94
17640	28	64139	64131	64337	8	206	5	94
17640	29	64138	64130	64340	8	210	6	95
17640	30	64139	64131	64340	8	209	6	94
17640	31	64138	64132	64337	6	205	5	94
17640	32	64163	64155	64361	8	206	5	94
17640	33	64137	64129	64336	8	207	6	94
17640	34	64136	64130	64338	6	208	5	94
17640	35	64136	64131	64337	5	206	6	94
17640	36	64137	64131	64336	6	205	5	94
17640	37	64141	64133	64341	8	208	7	94
17640	38	64160	64155	64360	5	205	5	94
17640	39	64141	64130	64341	11	211	6	94
17640	40	64139	64131	64340	8	209	7	94
17640	41	64140	64132	64341	8	209	6	94
17640	42	64138	64129	64339	9	210	6	94
17640	43	64140	64133	64342	7	209	6	94
17640	44	64138	64132	64337	6	205	5	94
17640	45	64154	64146	64354	8	208	6	94
17640	46	64149	64142	64349	7	207	6	94
17640	47	64138	64132	64339	6	207	5	94
17640	48	64139	64131	64339	8	208	6	94
17640	49	64138	64132	64339	6	207	5	94
17640	50	64141	64132	64340	9	208	6	94
17640	51	64137	64131	64337	6	206	6	94
17640	52	64141	64135	64341	6	206	5	94
17640	53	64161	64155	64360	6	205	5	94
17640	54	64140	64131	64340	9	209	7	94
17640	55	64138	64131	64338	7	207	5	94
17640	56	64139	64132	64339	7	207	5	94
17640	57	64140	64134	64340	6	206	5	94
17640	58	64138	64130	64338	8	208	6	94
17640	59	64139	64133	64339	6	206	5	94
17640	60	64162	64156	64361	6	205	5	94
17640	61	64138	64130	64338	8	208	6	94
17640	62	64138	64133	64338	5	205	5	94
17640	63	64144	64134	64342	10	208	6	94
17640	64	64138	64133	64338	5	205	5	94
17640	65	64139	64132	64338	7	206	6	94
17640	66	64142	64135	64342	7	207	6	94
17640	67	64161	64155	64363	6	208	6	94
17640	68	64139	64133	64339	6	206	5	94
17640	69	64138	64133	64338	5	205	5	94
17640	70	64141	64133	64340	8	207	6	94
17640	71	64140	64133	64340	7	207	5	94
17640	72	64143	64134	64343	9	209	6	94
17640	73	64140	64133	64340	7	207	7	94
17640	74	64142	64135	64342	7	207	6	94
17640	75	64141	64135	64341	6	206	6	94
17640	76	64139	64131	64340	8	209	6	94
17640	77	64142	64135	64344	7	209	6	94
17640	78	64140	64132	64342	8	210	6	94
17640	79	64142	64133	64343	9	210	7	94
17640	80	64143	64135	64342	8	207	6	94
17640	81	64159	64152	64361	7	209	6	94
17640	82	64145	64136	64345	9	209	6	94
17640	83	64141	64135	64341	6	206	5	94
17640	84	64140	64133	64340	7	207	7	94
17640	85	64140	64132	64340	8	208	6	94
17640	86	64143	64135	64346	8	211	6	94
17640	87	64140	64132	64339	8	207	6	94
17640	88	64142	64135	64343	7	208	5	94
17640	89	64141	64132	64341	9	209	6	94
17640	90	64143	64135	64342	8	207	6	94
17640	91	64141	64135	64340	6	205	5	94
17640	92	64143	64135	64342	8	207	6	94
17640	93	64139	64134	64339	5	205	5	94
17640	94	64140	64134	64345	6	211	6	94
17640	95	64140	64133	64341	7	208	6	94
17640	96	64140	64134	64341	6	207	5	94
17640	97	64143	64136	64342	7	206	5	94
17640	98	64140	64134	64341	6	207	5	94
17640	99	64142	64134	64343	8	209	6	94
17640	100	64140	64134	64340	6	206	6	94
17640	101	64141	64133	64342	8	209	6	94
17640	102	64140	64135	64340	5	205	5	94
17640	103	64141	64133	64341	8	208	6	94
17640	104	64139	64132	64339	7	207	6	94
17640	105	64142	64136	64342	6	206	6	94
17640	106	64157	64147	64358	10	211	6	94
17640	107	64146	64139	64348	7	209	6	94
17640	108	64142	64134	64342	8	208	7	94
17640	109	64140	64133	64340	7	207	7	94
17640	110	64141	64134	64343	7	209	6	94
17640	111	64140	64135	64340	5	205	5	94
17640	112	64141	64133	64342	8	209	6	94
17640	113	64139	64133	64340	6	207	5	94
17640	114	64140	64132	64340	8	208	7	94
17640	115	64140	64132	64340	8	208	7	94
17640	116	64139	64133	64339	6	206	6	94
17640	117	64147	64138	64347	9	209	6	94
17640	118	64143	64136	64344	7	208	7	94
17640	119	64147	64140	64346	7	206	5	94
17640	120	64143	64134	64341	9	207	6	94
17640	121	64145	64137	64345	8	208	7	94
17640	122	64143	64135	64343	8	208	6	94
17640	123	64142	64135	64342	7	207	6	94
17640	124	64131	64123	64330	8	207	6	94
17640	125	64143	64135	64346	8	211	7	94
17640	126	64146	64138	64344	8	206	5	94
17640	127	64145	64138	64347	7	209	5	94
17640	128	64144	64137	64344	7	207	6	94
17640	129	64143	64135	64344	8	209	6	94
17640	130	64144	64136	64345	8	209	6	94
17640	131	64143	64137	64343	6	206	6	94
17640	132	64145	64137	64345	8	208	7	94
17640	133	64143	64136	64344	7	208	6	94
17640	134	64144	64137	64344	7	207	5	94
17640	135	64126	64120	64328	6	208	6	94
17640	136	64141	64134	64342	7	208	6	94
17640	137	64144	64137	64343	7	206	5	94
17640	138	64143	64135	64343	8	208	6	94
17640	139	64144	64138	64344	6	206	5	94
17640	140	64142	64136	64341	6	205	5	94
17640	141	64145	64137	64345	8	208	6	94
17640	142	64143	64134	64342	9	208	7	94
17640	143	64144	64136	64345	8	209	6	94
17640	144	64141	64134	64341	7	207	6	94
17640	145	64143	64136	64344	7	208	6	94
17640	146	64144	64137	64343	7	206	5	94
17640	147	64143	64137	64343	6	206	6	94
17640	148	64143	64135	64345	8	210	5	94
17640	149	64142	64135	64341	7	206	6	94
17640	150	64132	64124	64332	8	208	5	94
17640	151	64146	64138	64347	8	209	7	94
17640	152	64147	64139	64349	8	210	5	94
17640	153	64145	64138	64347	7	209	6	95
17640	154	64148	64141	64348	7	207	7	94
17640	155	64128	64119	64329	9	210	6	94
17640	156	64145	64138	64346	7	208	6	94
17640	157	64146	64139	64346	7	207	6	94
17640	158	64146	64136	64346	10	210	6	94
17640	159	64147	64140	64349	7	209	6	94
17640	160	64145	64137	64344	8	207	6	94
17640	161	64128	64121	64329	7	208	7	94
17640	162	64144	64138	64343	6	205	5	94
17640	163	64147	64138	64345	9	207	6	94
17640	164	64144	64139	64344	5	205	5	94
17640	165	64144	64138	64344	6	206	6	94
17640	166	64145	64137	64345	8	208	5	94
17640	167	64143	64136	64342	7	206	6	94
17640	168	64143	64137	64343	6	206	5	94
17640	169	64128	64120	64327	8	207	6	94
17640	170	64144	64136	64345	8	209	6	94
17640	171	64142	64136	64342	6	206	6	94
17640	172	64146	64138	64347	8	209	6	94
17640	173	64144	64136	64344	8	208	6	94
17640	174	64143	64137	64343	6	206	6	94
17640	175	64146	64136	64348	10	212	7	94
17640	176	64142	64135	64342	7	207	5	94
