RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
17520	253	16040	16039	16237	1	198	4	93
17520	254	16038	16036	16236	2	200	4	93
17520	255	16022	16021	16219	1	198	4	93
17520	256	16040	16039	16236	1	197	3	93
17520	257	16043	16040	16238	3	198	4	93
17520	258	16042	16040	16238	2	198	4	93
17520	259	16029	16028	16225	1	197	3	93
17520	260	16031	16029	16228	2	199	4	93
17520	261	16042	16040	16238	2	198	4	93
17520	262	16040	16038	16238	2	200	4	93
17520	263	16042	16039	16238	3	199	5	93
17520	264	16019	16016	16216	3	200	4	93
17520	265	16039	16037	16237	2	200	4	93
17520	266	16042	16040	16239	2	199	5	93
17520	267	16040	16039	16238	1	199	3	93
17520	268	16042	16040	16238	2	198	4	93
17520	269	16018	16016	16214	2	198	4	93
17520	270	16042	16040	16241	2	201	3	93
17520	271	16042	16040	16240	2	200	4	93
17520	272	16042	16040	16240	2	200	4	93
17520	273	16040	16040	16237	0	197	3	93
17520	274	16017	16014	16218	3	204	7	94
17520	275	16043	16039	16240	4	201	5	93
17520	276	16041	16038	16238	3	200	4	93
17520	277	16042	16040	16240	2	200	4	93
17520	278	16041	16039	16240	2	201	4	93
17520	279	16015	16014	16213	1	199	3	93
17520	280	16042	16040	16239	2	199	5	93
17520	281	16040	16038	16237	2	199	3	93
17520	282	16042	16041	16239	1	198	4	93
17520	283	16040	16037	16238	3	201	5	93
17520	284	16019	16017	16215	2	198	4	93
17520	285	16042	16040	16238	2	198	4	93
17520	286	16042	16040	16238	2	198	4	93
17520	287	16040	16040	16237	0	197	3	93
17520	288	16025	16024	16222	1	198	4	93
17520	289	16035	16033	16231	2	198	4	93
17520	290	16040	16038	16239	2	201	3	93
17520	291	16042	16040	16238	2	198	4	93
17520	292	16040	16038	16236	2	198	4	93
17520	293	16015	16014	16213	1	199	5	93
17520	294	16042	16039	16240	3	201	5	93
17520	295	16041	16039	16238	2	199	3	93
17520	296	16042	16040	16240	2	200	4	93
17520	297	16042	16040	16240	2	200	4	93
17520	298	16015	16015	16212	0	197	3	93
17520	299	16042	16039	16241	3	202	4	93
17520	300	16042	16040	16238	2	198	4	93
