#WL	s8	s9	s10	s12
1	.000798	.000798	.000897	.000699
2	.000499	.000499	.000549	.000499 
4	.000449	.000549	.000549 .000524
8	.000386	.000362	.000262	.000324
16	.000443 .000106	.000112	.00005
32	.000377	.000084 .000072	.000034
64	.00005	.000037	.000028 .000028
128	.000087	.00002	.000017	.000019

