#WL	s8	s9	s10	s12
1	.000698	.000598	.000798	.000699
2	.000349	.000399	.000349	.000499 
4	.000349	.000374	.000524 .000499
8	.000362	.000362	.000249	.000324
16	.000437 .0001	.000094	.000037
32	.000377	.000081 .000069	.000037
64	.00005	.000036	.000027 .000023
128	.000087	.000021	.000018	.000019

