#WL	s8	s9	s10	s12
1	.7	.6	.8	.7
2	.7	.8	.7	1 
4	1.4	1.5	2.1 	2
8	2.9	2.9	2	2.6
16	7 	1.6	1.5	.6
32	12.1	2.6	2.2	1.2
64	3.2	2.3	1.7 	1.5
128	11.1	2.7	2.3	2.5

