ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	656918	646993	657101	9925	10108	11	99
2	655260	645311	655438	9949	10127	10	99
3	655510	645580	655690	9930	10110	9	99
4	645992	636107	646092	9885	9985	11	99
5	655220	645246	655394	9974	10148	8	99
6	655782	645817	655963	9965	10146	9	99
7	654678	643942	654834	10736	10892	12	100
8	652690	642782	652867	9908	10085	8	99
9	653583	643624	653749	9959	10125	7	99
10	658647	648669	658812	9978	10143	7	99
11	642426	632607	642601	9819	9994	10	99
12	654097	644080	654206	10017	10126	8	99
13	653160	643199	653337	9961	10138	8	99
14	656713	646616	656909	10097	10293	8	99
15	654417	644414	654569	10003	10155	10	99
16	653147	643198	653327	9949	10129	8	99
17	657469	647500	657658	9969	10158	9	99
18	640963	631083	641094	9880	10011	17	117
19	654874	644885	655014	9989	10129	9	99
20	653581	643371	653704	10210	10333	11	101
21	652709	642770	652884	9939	10114	8	99
22	653949	643995	654119	9954	10124	8	99
23	655686	645776	655867	9910	10091	8	99
24	651170	641218	651326	9952	10108	9	99
25	641166	631473	641366	9693	9893	11	99
26	652834	643067	653018	9767	9951	9	99
27	654466	644533	654637	9933	10104	8	99
28	652932	643197	653106	9735	9909	8	99
29	655987	645417	656148	10570	10731	13	100
30	654539	644582	654718	9957	10136	7	99
31	655042	645108	655195	9934	10087	9	99
32	643974	634182	644135	9792	9953	11	99
33	653675	643752	653865	9923	10113	10	99
34	656479	646505	656655	9974	10150	8	99
35	652931	643035	653125	9896	10090	8	99
36	655657	645720	655842	9937	10122	8	99
37	655630	645662	655796	9968	10134	9	99
38	655046	645111	655185	9935	10074	11	99
39	647098	637321	647290	9777	9969	10	99
40	653919	643922	654088	9997	10166	11	99
