ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	588623	579758	588827	8865	9069	8	99
2	589283	580330	589483	8953	9153	8	99
3	589650	580626	589853	9024	9227	11	99
4	588974	580098	589174	8876	9076	8	99
5	589209	580193	589409	9016	9216	8	99
6	589926	581045	590126	8881	9081	10	99
7	590369	581359	590571	9010	9212	8	99
8	590046	581061	590251	8985	9190	10	99
9	590043	581235	590246	8808	9011	8	99
10	589615	580768	589814	8847	9046	8	99
11	590253	581235	590457	9018	9222	8	99
12	589893	581080	590096	8813	9016	8	99
13	590065	581239	590264	8826	9025	9	99
14	589251	580250	589451	9001	9201	7	99
15	590081	581248	590282	8833	9034	8	99
16	590674	581286	590873	9388	9587	10	100
17	589376	580320	589578	9056	9258	7	99
18	589015	580152	589217	8863	9065	8	99
19	590276	581289	590477	8987	9188	8	99
20	589226	580226	589430	9000	9204	9	99
21	589615	580785	589819	8830	9034	7	99
22	588898	579911	589098	8987	9187	7	99
23	589777	580660	589975	9117	9315	8	100
24	588833	579943	589038	8890	9095	6	99
25	588760	579787	588957	8973	9170	8	99
26	589545	580694	589744	8851	9050	10	99
27	589393	580398	589592	8995	9194	8	99
28	590932	581896	591133	9036	9237	9	99
29	589675	580819	589877	8856	9058	8	99
30	589139	580115	589340	9024	9225	8	99
31	590137	581094	590336	9043	9242	7	99
32	588588	579712	588785	8876	9073	9	99
33	589861	580886	590060	8975	9174	8	99
34	590027	581024	590230	9003	9206	6	99
35	589066	580216	589263	8850	9047	9	99
36	590142	581112	590343	9030	9231	8	99
37	588954	580123	589153	8831	9030	8	99
38	589369	580383	589569	8986	9186	8	99
39	589689	580704	589893	8985	9189	9	99
40	588777	579883	588979	8894	9096	8	99
