ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	596129	587123	596320	9006	9197	9	99
2	602519	593377	602714	9142	9337	9	99
3	585625	576796	585825	8829	9029	12	99
4	596039	587049	596235	8990	9186	8	99
5	602593	593470	602786	9123	9316	8	99
6	600978	591740	601175	9238	9435	12	100
7	593189	584230	593381	8959	9151	8	99
8	593171	584167	593363	9004	9196	11	99
9	591893	582890	592083	9003	9193	12	99
10	593974	584999	594167	8975	9168	10	99
11	596280	587214	596470	9066	9256	11	99
12	593019	583972	593214	9047	9242	8	99
13	596875	587656	597071	9219	9415	9	99
14	598198	589176	598393	9022	9217	10	99
15	584231	575360	584426	8871	9066	10	99
16	597057	587892	597250	9165	9358	10	99
17	596357	587301	596555	9056	9254	9	99
18	606447	597319	606642	9128	9323	8	99
19	593123	584085	593322	9038	9237	8	99
20	591340	582324	591535	9016	9211	11	99
21	595704	586656	595900	9048	9244	11	99
22	594618	585606	594814	9012	9208	10	99
23	595281	586291	595478	8990	9187	8	99
24	597754	588124	597941	9630	9817	10	100
25	595032	586002	595233	9030	9231	9	99
26	591947	582905	592143	9042	9238	10	99
27	591996	582983	592190	9013	9207	9	99
28	603176	594030	603374	9146	9344	10	99
29	595356	586338	595555	9018	9217	8	99
30	594670	585509	594869	9161	9360	12	100
31	591634	582627	591834	9007	9207	9	99
32	594536	585513	594727	9023	9214	14	110
33	590264	581247	590459	9017	9212	9	99
34	596225	587215	596422	9010	9207	9	99
35	597084	587898	597279	9186	9381	9	99
36	591211	582164	591406	9047	9242	9	99
37	596790	587808	596986	8982	9178	9	99
38	594102	585090	594301	9012	9211	9	99
39	589854	580833	590052	9021	9219	10	99
40	591980	582952	592183	9028	9231	9	99
