ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	410469	404261	410675	6208	6414	8	99
2	410922	404698	411129	6224	6431	8	99
3	410499	404288	410701	6211	6413	8	99
4	410589	404346	410792	6243	6446	7	99
5	410325	404259	410531	6066	6272	6	99
6	410414	404271	410730	6143	6459	8	99
7	410536	404285	410742	6251	6457	11	99
8	410628	404343	410830	6285	6487	7	99
9	410647	404398	410848	6249	6450	6	99
10	410609	404345	410814	6264	6469	7	99
11	410560	404309	410768	6251	6459	8	99
12	410636	404376	410840	6260	6464	7	100
13	410454	404335	410772	6119	6437	6	99
14	410585	404375	410791	6210	6416	7	99
15	410582	404355	410787	6227	6432	7	99
16	410507	404282	410709	6225	6427	9	99
17	410535	404314	410740	6221	6426	8	99
18	410530	404334	410736	6196	6402	9	99
19	410364	404254	410566	6110	6312	6	99
20	410505	404328	410710	6177	6382	6	99
21	410614	404390	410819	6224	6429	6	99
22	410637	404382	410845	6255	6463	7	99
23	410450	404235	410652	6215	6417	8	99
24	410508	404258	410715	6250	6457	6	99
25	410493	404361	410695	6132	6334	7	99
26	410470	404384	410673	6086	6289	7	99
27	410580	404329	410786	6251	6457	9	99
28	410530	404309	410737	6221	6428	7	99
29	410578	404327	410781	6251	6454	6	99
30	410710	404451	410917	6259	6466	7	99
31	410517	404278	410719	6239	6441	7	99
32	410455	404365	410660	6090	6295	8	99
33	410414	404303	410617	6111	6314	7	99
34	410577	404325	410784	6252	6459	8	99
35	411098	404294	411297	6804	7003	9	100
36	410567	404343	410772	6224	6429	6	99
37	410655	404425	410860	6230	6435	7	99
38	410500	404269	410706	6231	6437	8	99
39	410577	404344	410784	6233	6440	6	99
40	410430	404357	410637	6073	6280	7	99
