RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
17620	1	32075	32070	32273	5	203	4	93
17620	2	32068	32065	32266	3	201	4	93
17620	3	32072	32069	32272	3	203	4	93
17620	4	32069	32066	32265	3	199	4	93
17620	5	32078	32074	32276	4	202	4	93
17620	6	32068	32064	32268	4	204	5	93
17620	7	32072	32068	32272	4	204	5	93
17620	8	32068	32065	32266	3	201	4	93
17620	9	32074	32069	32270	5	201	5	93
17620	10	32069	32065	32265	4	200	5	93
17620	11	32072	32069	32268	3	199	4	93
17620	12	32069	32066	32265	3	199	4	93
17620	13	32074	32070	32272	4	202	4	93
17620	14	32068	32065	32267	3	202	4	93
17620	15	32072	32069	32272	3	203	4	93
17620	16	32069	32063	32264	6	201	6	93
17620	17	32075	32071	32271	4	200	4	93
17620	18	32069	32066	32265	3	199	4	93
17620	19	32073	32069	32269	4	200	5	93
17620	20	32069	32065	32269	4	204	5	93
17620	21	32075	32071	32271	4	200	4	93
17620	22	32072	32069	32270	3	201	4	93
17620	23	32070	32067	32268	3	201	4	93
17620	24	32073	32069	32269	4	200	5	93
17620	25	32071	32066	32269	5	203	5	93
17620	26	32072	32067	32272	5	205	5	93
17620	27	32069	32066	32265	3	199	4	93
17620	28	32072	32069	32272	3	203	4	93
17620	29	32070	32066	32268	4	202	4	93
17620	30	32072	32068	32272	4	204	5	93
17620	31	32068	32065	32266	3	201	4	93
17620	32	32072	32069	32272	3	203	4	93
17620	33	32072	32069	32268	3	199	4	93
17620	34	32073	32070	32269	3	199	4	93
17620	35	32069	32066	32265	3	199	4	93
17620	36	32072	32069	32272	3	203	4	93
17620	37	32068	32064	32266	4	202	5	93
17620	38	32074	32069	32274	5	205	5	93
17620	39	32069	32065	32265	4	200	5	93
17620	40	32073	32069	32269	4	200	5	93
17620	41	32069	32066	32265	3	199	4	93
17620	42	32074	32070	32270	4	200	4	93
17620	43	32069	32066	32265	3	199	4	93
17620	44	32073	32070	32269	3	199	4	93
17620	45	32069	32066	32265	3	199	4	93
17620	46	32074	32069	32274	5	205	5	93
17620	47	32070	32066	32266	4	200	5	93
17620	48	32073	32070	32269	3	199	4	93
17620	49	32072	32069	32268	3	199	4	93
17620	50	32073	32069	32269	4	200	4	93
17620	51	32073	32068	32269	5	201	5	93
17620	52	32069	32066	32267	3	201	4	93
17620	53	32074	32070	32274	4	204	5	93
17620	54	32071	32066	32267	5	201	5	93
17620	55	32073	32069	32269	4	200	5	93
17620	56	32069	32065	32265	4	200	5	93
17620	57	32072	32068	32272	4	204	5	93
17620	58	32070	32066	32266	4	200	4	93
17620	59	32072	32067	32272	5	205	5	93
17620	60	32069	32066	32265	3	199	4	93
17620	61	32076	32071	32272	5	201	5	93
17620	62	32072	32065	32269	7	204	6	93
17620	63	32072	32069	32272	3	203	4	93
17620	64	32069	32065	32266	4	201	5	93
17620	65	32073	32070	32269	3	199	4	93
17620	66	32071	32066	32267	5	201	5	93
17620	67	32073	32069	32269	4	200	5	93
17620	68	32069	32066	32265	3	199	4	93
17620	69	32073	32070	32269	3	199	4	93
17620	70	32070	32065	32268	5	203	5	93
17620	71	32072	32069	32272	3	203	4	93
17620	72	32069	32065	32265	4	200	5	93
17620	73	32072	32069	32270	3	201	4	93
17620	74	32070	32065	32270	5	205	5	93
17620	75	32072	32069	32270	3	201	4	93
17620	76	32070	32066	32269	4	203	5	93
17620	77	32072	32068	32270	4	202	5	93
17620	78	32074	32069	32272	5	203	5	93
17620	79	32070	32066	32268	4	202	5	93
17620	80	32072	32069	32270	3	201	4	93
17620	81	32069	32066	32267	3	201	4	93
17620	82	32075	32070	32271	5	201	5	93
17620	83	32069	32066	32265	3	199	4	93
17620	84	32073	32070	32269	3	199	4	93
17620	85	32069	32065	32265	4	200	5	93
17620	86	32072	32068	32272	4	204	5	93
17620	87	32069	32066	32265	3	199	4	93
17620	88	32073	32070	32269	3	199	4	93
17620	89	32068	32065	32268	3	203	4	93
17620	90	32073	32070	32269	3	199	4	93
17620	91	32069	32066	32265	3	199	4	93
17620	92	32072	32068	32272	4	204	5	93
17620	93	32069	32066	32265	3	199	4	93
17620	94	32072	32069	32272	3	203	4	93
17620	95	32070	32066	32270	4	204	4	93
17620	96	32073	32070	32269	3	199	4	93
17620	97	32069	32065	32265	4	200	5	93
17620	98	32073	32069	32269	4	200	5	93
17620	99	32071	32066	32267	5	201	5	93
17620	100	32072	32068	32272	4	204	5	93
17620	101	32068	32063	32265	5	202	5	93
17620	102	32072	32068	32270	4	202	5	93
17620	103	32072	32066	32269	6	203	5	93
17620	104	32073	32070	32269	3	199	4	93
17620	105	32069	32066	32269	3	203	4	93
17620	106	32073	32070	32269	3	199	4	93
17620	107	32073	32068	32271	5	203	5	93
17620	108	32072	32068	32268	4	200	5	93
17620	109	32072	32069	32268	3	199	4	93
17620	110	32070	32067	32268	3	201	4	93
17620	111	32074	32069	32272	5	203	5	93
17620	112	32068	32065	32268	3	203	4	93
17620	113	32072	32069	32272	3	203	4	93
17620	114	32069	32066	32265	3	199	4	93
17620	115	32075	32070	32271	5	201	5	93
17620	116	32069	32064	32264	5	200	5	93
17620	117	32073	32069	32269	4	200	5	93
17620	118	32068	32064	32266	4	202	5	93
17620	119	32075	32071	32271	4	200	4	93
17620	120	32069	32065	32265	4	200	5	93
17620	121	32072	32068	32270	4	202	5	93
17620	122	32068	32065	32266	3	201	4	93
17620	123	32075	32071	32271	4	200	4	93
17620	124	32069	32065	32265	4	200	5	93
17620	125	32073	32070	32269	3	199	4	93
17620	126	32068	32065	32268	3	203	4	93
17620	127	32074	32068	32270	6	202	5	93
17620	128	32068	32065	32268	3	203	4	93
17620	129	32072	32069	32270	3	201	4	93
17620	130	32069	32065	32265	4	200	5	93
17620	131	32075	32069	32271	6	202	5	93
17620	132	32068	32065	32268	3	203	4	93
17620	133	32073	32070	32269	3	199	4	93
17620	134	32068	32065	32268	3	203	4	93
17620	135	32074	32069	32274	5	205	5	93
17620	136	32070	32066	32268	4	202	5	93
17620	137	32075	32072	32271	3	199	4	93
17620	138	32071	32068	32267	3	199	4	93
17620	139	32074	32070	32272	4	202	4	93
17620	140	32129	32087	32329	42	242	11	111
17620	141	32072	32069	32270	3	201	4	93
17620	142	32071	32068	32267	3	199	4	93
17620	143	32074	32070	32270	4	200	4	93
17620	144	32072	32069	32268	3	199	4	93
17620	145	32071	32067	32269	4	202	5	93
17620	146	32072	32068	32270	4	202	5	93
17620	147	32073	32067	32269	6	202	5	93
17620	148	32073	32069	32269	4	200	5	93
17620	149	32070	32067	32266	3	199	4	93
17620	150	32073	32070	32269	3	199	4	93
17620	151	32069	32066	32267	3	201	4	93
17620	152	32072	32069	32272	3	203	4	93
17620	153	32068	32065	32266	3	201	4	93
17620	154	32073	32070	32271	3	201	4	93
17620	155	32068	32065	32266	3	201	4	93
17620	156	32072	32069	32270	3	201	4	93
17620	157	32068	32065	32268	3	203	4	93
17620	158	32073	32069	32268	4	199	4	93
17620	159	32069	32066	32265	3	199	4	93
