RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
17500	1	8022	8021	8220	1	199	3	93
17500	2	8017	8017	8215	0	198	2	93
17500	3	8019	8017	8217	2	200	4	93
17500	4	8022	8021	8220	1	199	3	93
17500	5	8018	8017	8216	1	199	3	93
17500	6	8018	8017	8216	1	199	3	93
17500	7	8022	8021	8220	1	199	3	93
17500	8	8016	8016	8212	0	196	2	93
17500	9	8016	8016	8214	0	198	2	93
17500	10	8022	8021	8220	1	199	3	93
17500	11	8017	8016	8217	1	201	3	93
17500	12	8020	8019	8218	1	199	3	93
17500	13	8021	8020	8219	1	199	3	93
17500	14	8018	8017	8216	1	199	3	93
17500	15	8020	8020	8218	0	198	2	93
17500	16	8029	8020	8225	9	205	5	95
17500	17	8018	8017	8216	1	199	3	93
17500	18	8022	8020	8222	2	202	4	93
17500	19	8018	8017	8216	1	199	3	93
17500	20	8018	8017	8216	1	199	3	93
17500	21	8020	8020	8218	0	198	2	93
17500	22	8018	8017	8215	1	198	3	93
17500	23	8018	8017	8216	1	199	3	93
17500	24	8022	8021	8220	1	199	3	93
17500	25	8018	8016	8216	2	200	4	93
17500	26	8022	8020	8218	2	198	4	93
17500	27	8017	8016	8215	1	199	3	93
17500	28	8016	8015	8213	1	198	4	93
17500	29	8022	8020	8220	2	200	4	93
17500	30	8018	8017	8215	1	198	3	93
17500	31	8018	8016	8214	2	198	4	93
17500	32	8022	8021	8220	1	199	3	93
17500	33	8018	8016	8216	2	200	4	93
17500	34	8015	8015	8213	0	198	2	93
17500	35	8022	8020	8220	2	200	4	93
17500	36	8018	8016	8214	2	198	4	93
17500	37	8020	8019	8216	1	197	3	93
17500	38	8021	8020	8220	1	200	3	93
17500	39	8018	8017	8216	1	199	3	93
17500	40	8020	8020	8218	0	198	2	93
17500	41	8018	8017	8214	1	197	3	93
17500	42	8019	8016	8213	3	197	3	93
17500	43	8022	8021	8220	1	199	3	93
17500	44	8018	8017	8214	1	197	3	93
17500	45	8018	8016	8216	2	200	4	93
17500	46	8020	8019	8216	1	197	3	93
17500	47	8017	8015	8217	2	202	4	93
17500	48	8018	8016	8214	2	198	4	93
17500	49	8022	8020	8220	2	200	4	93
17500	50	8018	8017	8216	1	199	3	93
17500	51	8022	8021	8220	1	199	3	93
17500	52	8018	8018	8214	0	196	2	93
17500	53	8016	8016	8212	0	196	2	93
17500	54	8022	8021	8220	1	199	3	93
17500	55	8019	8018	8217	1	199	3	93
17500	56	8018	8017	8214	1	197	3	93
17500	57	8022	8021	8218	1	197	3	93
17500	58	8018	8017	8216	1	199	3	93
17500	59	8016	8016	8214	0	198	2	93
17500	60	8022	8021	8218	1	197	3	93
17500	61	8018	8016	8214	2	198	4	93
17500	62	8019	8018	8219	1	201	3	93
17500	63	8022	8021	8220	1	199	3	93
17500	64	8018	8016	8216	2	200	4	93
17500	65	8020	8020	8216	0	196	2	93
17500	66	8018	8017	8216	1	199	3	93
17500	67	8018	8017	8216	1	199	3	93
17500	68	8022	8020	8219	2	199	3	93
17500	69	8018	8017	8216	1	199	3	93
17500	70	8018	8017	8216	1	199	3	93
17500	71	8020	8020	8218	0	198	2	93
17500	72	8018	8017	8216	1	199	3	93
17500	73	8018	8017	8216	1	199	3	93
17500	74	8022	8020	8219	2	199	4	93
17500	75	8018	8016	8214	2	198	4	93
17500	76	8022	8020	8218	2	198	4	93
17500	77	8017	8016	8219	1	203	3	93
17500	78	8015	8014	8215	1	201	3	93
17500	79	8022	8021	8220	1	199	3	93
17500	80	8018	8017	8216	1	199	3	93
17500	81	8018	8017	8216	1	199	3	93
17500	82	8022	8021	8220	1	199	3	93
17500	83	8018	8016	8214	2	198	4	93
17500	84	8015	8015	8215	0	200	2	93
17500	85	8022	8021	8219	1	198	3	93
17500	86	8017	8016	8217	1	201	3	93
17500	87	8019	8018	8219	1	201	3	93
17500	88	8022	8021	8218	1	197	3	93
17500	89	8018	8017	8216	1	199	3	93
17500	90	8020	8019	8218	1	199	3	93
17500	91	8018	8016	8214	2	198	4	93
17500	92	8018	8016	8214	2	198	4	93
17500	93	8022	8021	8220	1	199	3	93
17500	94	8018	8017	8216	1	199	3	93
17500	95	8018	8017	8214	1	197	3	93
17500	96	8020	8020	8218	0	198	2	93
17500	97	8017	8016	8217	1	201	3	93
17500	98	8018	8017	8216	1	199	3	93
17500	99	8022	8020	8219	2	199	3	93
17500	100	8018	8017	8216	1	199	3	93
17500	101	8022	8021	8220	1	199	3	93
17500	102	8017	8017	8220	0	203	3	93
17500	103	8016	8016	8214	0	198	2	93
17500	104	8022	8020	8220	2	200	4	93
17500	105	8018	8016	8216	2	200	4	93
17500	106	8018	8016	8216	2	200	4	93
17500	107	8023	8021	8219	2	198	4	93
17500	108	8018	8017	8214	1	197	3	93
17500	109	8016	8016	8214	0	198	2	93
17500	110	8022	8021	8218	1	197	3	93
17500	111	8018	8017	8216	1	199	3	93
17500	112	8020	8019	8218	1	199	3	93
17500	113	8021	8020	8219	1	199	3	93
17500	114	8018	8017	8216	1	199	3	93
17500	115	8020	8020	8216	0	196	2	93
17500	116	8017	8016	8217	1	201	3	93
17500	117	8018	8017	8216	1	199	3	93
17500	118	8022	8021	8220	1	199	3	93
17500	119	8018	8017	8214	1	197	3	93
17500	120	8018	8016	8215	2	199	3	93
17500	121	8020	8019	8218	1	199	3	93
17500	122	8016	8016	8212	0	196	2	93
17500	123	8018	8017	8216	1	199	3	93
17500	124	8022	8019	8220	3	201	4	93
17500	125	8018	8017	8214	1	197	3	93
17500	126	8022	8021	8218	1	197	3	93
17500	127	8021	8020	8219	1	199	3	93
17500	128	8015	8015	8215	0	200	2	93
17500	129	8022	8021	8220	1	199	3	93
17500	130	8018	8017	8216	1	199	3	93
17500	131	8018	8017	8216	1	199	3	93
17500	132	8022	8021	8220	1	199	3	93
17500	133	8018	8016	8214	2	198	4	93
17500	134	8016	8015	8214	1	199	3	93
17500	135	8022	8020	8220	2	200	4	93
17500	136	8017	8015	8217	2	202	4	93
17500	137	8018	8016	8216	2	200	4	93
17500	138	8022	8021	8220	1	199	3	93
17500	139	8018	8017	8216	1	199	3	93
17500	140	8020	8020	8216	0	196	2	93
17500	141	8017	8016	8214	1	198	2	93
17500	142	8018	8016	8215	2	199	3	93
17500	143	8022	8021	8220	1	199	3	93
17500	144	8017	8016	8217	1	201	3	93
17500	145	8018	8017	8214	1	197	3	93
17500	146	8022	8021	8220	1	199	3	93
17500	147	8016	8016	8214	0	198	2	93
17500	148	8017	8016	8217	1	201	3	93
17500	149	8022	8021	8220	1	199	3	93
17500	150	8017	8016	8215	1	199	3	93
17500	151	8020	8019	8218	1	199	3	93
17500	152	8021	8020	8219	1	199	3	93
17500	153	8016	8016	8212	0	196	2	93
17500	154	8022	8021	8219	1	198	3	93
17500	155	8018	8017	8216	1	199	3	93
17500	156	8018	8017	8214	1	197	3	93
17500	157	8022	8021	8220	1	199	3	93
17500	158	8017	8016	8215	1	199	3	93
17500	159	8016	8015	8214	1	199	3	93
17500	160	8022	8021	8220	1	199	3	93
17500	161	8018	8017	8214	1	197	3	93
17500	162	8019	8018	8219	1	201	3	93
17500	163	8022	8020	8218	2	198	4	93
17500	164	8017	8016	8217	1	201	3	93
17500	165	8022	8021	8220	1	199	3	93
17500	166	8017	8017	8213	0	196	2	93
17500	167	8018	8017	8214	1	197	3	93
17500	168	8022	8021	8220	1	199	3	93
17500	169	8018	8017	8216	1	199	3	93
17500	170	8018	8017	8216	1	199	3	93
17500	171	8022	8021	8220	1	199	3	93
17500	172	8016	8016	8212	0	196	2	93
17500	173	8018	8017	8214	1	197	3	93
17500	174	8022	8021	8220	1	199	3	93
17500	175	8017	8016	8217	1	201	3	93
17500	176	8020	8019	8216	1	197	3	93
17500	177	8021	8020	8219	1	199	3	93
17500	178	8016	8016	8212	0	196	2	93
17500	179	8022	8021	8220	1	199	3	93
17500	180	8018	8016	8216	2	200	4	93
17500	181	8018	8016	8216	2	200	4	93
17500	182	8022	8020	8220	2	200	4	93
17500	183	8017	8015	8217	2	202	4	93
17500	184	8016	8015	8214	1	199	3	93
17500	185	8022	8020	8218	2	198	4	93
17500	186	8017	8015	8217	2	202	4	93
17500	187	8019	8017	8217	2	200	4	93
17500	188	8022	8021	8220	1	199	3	93
17500	189	8018	8016	8216	2	200	4	93
17500	190	8022	8020	8218	2	198	4	93
17500	191	8017	8016	8213	1	197	3	93
17500	192	8018	8016	8214	2	198	4	93
17500	193	8022	8020	8220	2	200	4	93
17500	194	8018	8016	8216	2	200	4	93
17500	195	8018	8016	8214	2	198	4	93
17500	196	8021	8020	8221	1	201	3	93
17500	197	8016	8016	8214	0	198	2	93
17500	198	8018	8017	8214	1	197	3	93
17500	199	8022	8021	8220	1	199	3	93
17500	200	8018	8017	8214	1	197	3	93
17500	201	8021	8020	8219	1	199	3	93
17500	202	8021	8020	8219	1	199	3	93
17500	203	8016	8016	8212	0	196	2	93
17500	204	8022	8021	8220	1	199	3	93
17500	205	8018	8017	8216	1	199	3	93
17500	206	8018	8017	8216	1	199	3	93
17500	207	8022	8021	8220	1	199	3	93
17500	208	8018	8017	8216	1	199	3	93
17500	209	8016	8016	8214	0	198	2	93
17500	210	8020	8020	8218	0	198	2	93
17500	211	8017	8016	8217	1	201	3	93
17500	212	8018	8017	8216	1	199	3	93
17500	213	8022	8021	8246	1	225	5	94
17500	214	8018	8017	8214	1	197	3	93
17500	215	8022	8021	8220	1	199	3	93
17500	216	8017	8017	8213	0	196	2	93
17500	217	8017	8016	8215	1	199	3	93
17500	218	8022	8020	8219	2	199	3	93
17500	219	8017	8016	8217	1	201	3	93
17500	220	8018	8017	8214	1	197	3	93
17500	221	8022	8020	8220	2	200	4	93
17500	222	8016	8016	8212	0	196	2	93
17500	223	8018	8017	8214	1	197	3	93
17500	224	8022	8021	8220	1	199	3	93
17500	225	8018	8017	8216	1	199	3	93
17500	226	8020	8018	8215	2	197	3	93
17500	227	8021	8020	8219	1	199	3	93
17500	228	8016	8016	8212	0	196	2	93
17500	229	8020	8020	8218	0	198	2	93
17500	230	8018	8017	8214	1	197	3	93
17500	231	8018	8017	8216	1	199	3	93
17500	232	8022	8021	8220	1	199	3	93
17500	233	8018	8017	8214	1	197	3	93
17500	234	8018	8017	8216	1	199	3	93
17500	235	8020	8020	8218	0	198	2	93
17500	236	8018	8017	8214	1	197	3	93
17500	237	8018	8017	8216	1	199	3	93
17500	238	8022	8021	8218	1	197	3	93
17500	239	8018	8016	8214	2	198	4	93
17500	240	8022	8020	8220	2	200	4	93
17500	241	8017	8017	8215	0	198	2	93
17500	242	8018	8016	8216	2	200	4	93
17500	243	8022	8020	8220	2	200	4	93
17500	244	8018	8016	8216	2	200	4	93
17500	245	8018	8016	8216	2	200	4	93
17500	246	8022	8020	8220	2	200	4	93
17500	247	8016	8015	8214	1	199	3	93
17500	248	8018	8016	8215	2	199	4	93
17500	249	8022	8021	8218	1	197	3	93
17500	250	8017	8016	8217	1	201	3	93
17500	251	8020	8018	8218	2	200	4	93
17500	252	8022	8020	8218	2	198	4	93
17500	253	8016	8015	8214	1	199	3	93
17500	254	8020	8019	8218	1	199	3	93
17500	255	8018	8017	8216	1	199	3	93
17500	256	8018	8017	8216	1	199	3	93
17500	257	8022	8021	8218	1	197	3	93
17500	258	8018	8016	8215	2	199	3	93
17500	259	8018	8017	8216	1	199	3	93
17500	260	8020	8020	8218	0	198	2	93
17500	261	8018	8017	8216	1	199	3	93
17500	262	8018	8017	8214	1	197	3	93
17500	263	8022	8020	8220	2	200	4	93
17500	264	8018	8017	8216	1	199	3	93
17500	265	8022	8021	8218	1	197	3	93
17500	266	8017	8017	8215	0	198	2	93
17500	267	8018	8017	8216	1	199	3	93
17500	268	8022	8019	8219	3	200	4	93
17500	269	8018	8017	8216	1	199	3	93
17500	270	8018	8017	8214	1	197	3	93
17500	271	8022	8021	8220	1	199	3	93
17500	272	8016	8016	8214	0	198	2	93
17500	273	8016	8016	8215	0	199	3	93
17500	274	8022	8021	8220	1	199	3	93
17500	275	8017	8016	8217	1	201	3	93
17500	276	8020	8019	8216	1	197	3	93
17500	277	8021	8020	8221	1	201	3	93
17500	278	8018	8017	8216	1	199	3	93
17500	279	8020	8020	8218	0	198	2	93
17500	280	8018	8017	8216	1	199	3	93
17500	281	8018	8017	8214	1	197	3	93
17500	282	8022	8021	8220	1	199	3	93
17500	283	8018	8017	8215	1	198	3	93
17500	284	8018	8017	8216	1	199	3	93
17500	285	8020	8020	8218	0	198	2	93
17500	286	8018	8017	8216	1	199	3	93
17500	287	8019	8018	8215	1	197	3	93
17500	288	8022	8021	8220	1	199	3	93
17500	289	8018	8017	8216	1	199	3	93
17500	290	8022	8021	8220	1	199	3	93
17500	291	8016	8016	8214	0	198	2	93
17500	292	8018	8017	8214	1	197	3	93
17500	293	8022	8020	8220	2	200	4	93
17500	294	8018	8016	8216	2	200	4	93
17500	295	8018	8017	8216	1	199	3	93
17500	296	8022	8021	8218	1	197	3	93
17500	297	8016	8016	8212	0	196	2	93
17500	298	8018	8017	8216	1	199	3	93
17500	299	8022	8021	8220	1	199	3	93
17500	300	8018	8017	8214	1	197	3	93
