RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
17440	1	4010	4009	4205	1	196	2	93
17440	2	4012	4011	4208	1	197	3	93
17440	3	4005	4005	4205	0	200	2	93
17440	4	4011	4010	4209	1	199	3	93
17440	5	4010	4010	4206	0	196	2	93
17440	6	4007	4006	4203	1	197	3	93
17440	7	4010	4010	4206	0	196	2	93
17440	8	4009	4009	4207	0	198	2	93
17440	9	4007	4006	4205	1	199	3	93
17440	10	4009	4009	4205	0	196	2	93
17440	11	4012	4011	4208	1	197	3	93
17440	12	4005	4005	4201	0	196	2	93
17440	13	4012	4011	4208	1	197	3	93
17440	14	4010	4010	4206	0	196	2	93
17440	15	4007	4006	4205	1	199	3	93
17440	16	4009	4009	4209	0	200	2	93
17440	17	4009	4009	4209	0	200	2	93
17440	18	4008	4007	4204	1	197	3	93
17440	19	4009	4009	4207	0	198	2	93
17440	20	4011	4010	4211	1	201	3	93
17440	21	4005	4005	4203	0	198	2	93
17440	22	4011	4010	4211	1	201	3	93
17440	23	4010	4010	4206	0	196	2	93
17440	24	4005	4005	4203	0	198	2	93
17440	25	4011	4010	4209	1	199	3	93
17440	26	4010	4010	4206	0	196	2	93
17440	27	4007	4006	4205	1	199	3	93
17440	28	4009	4009	4207	0	198	2	93
17440	29	4011	4010	4211	1	201	3	93
17440	30	4005	4005	4205	0	200	2	93
17440	31	4011	4010	4209	1	199	3	93
17440	32	4009	4009	4209	0	200	2	93
17440	33	4005	4005	4203	0	198	2	93
17440	34	4011	4010	4211	1	201	3	93
17440	35	4013	4011	4211	2	200	3	93
17440	36	4008	4006	4203	2	197	3	93
17440	37	4009	4009	4209	0	200	2	93
17440	38	4012	4011	4208	1	197	3	93
17440	39	4006	4006	4202	0	196	2	93
17440	40	4010	4009	4205	1	196	2	93
17440	41	4012	4011	4208	1	197	3	93
17440	42	4006	4006	4202	0	196	2	93
17440	43	4011	4010	4211	1	201	3	93
17440	44	4010	4010	4206	0	196	2	93
17440	45	4007	4006	4207	1	201	3	93
17440	46	4010	4010	4206	0	196	2	93
17440	47	4012	4011	4208	1	197	3	93
17440	48	4005	4005	4205	0	200	2	93
17440	49	4009	4009	4207	0	198	2	93
17440	50	4011	4010	4211	1	201	3	93
17440	51	4005	4005	4203	0	198	2	93
17440	52	4012	4011	4208	1	197	3	93
17440	53	4009	4009	4207	0	198	2	93
17440	54	4007	4006	4205	1	199	3	93
17440	55	4009	4009	4205	0	196	2	93
17440	56	4009	4009	4207	0	198	2	93
17440	57	4005	4005	4205	0	200	2	93
17440	58	4010	4010	4206	0	196	2	93
17440	59	4011	4010	4211	1	201	3	93
17440	60	4005	4005	4205	0	200	2	93
17440	61	4011	4010	4211	1	201	3	93
17440	62	4009	4009	4207	0	198	2	93
17440	63	4007	4006	4203	1	197	3	93
17440	64	4009	4009	4209	0	200	2	93
17440	65	4009	4009	4207	0	198	2	93
17440	66	4007	4006	4205	1	199	3	93
17440	67	4010	4010	4206	0	196	2	93
17440	68	4011	4010	4210	1	200	3	93
17440	69	4005	4005	4203	0	198	2	93
17440	70	4012	4010	4207	2	197	3	93
17440	71	4009	4009	4208	0	199	2	93
17440	72	4006	4006	4202	0	196	2	93
17440	73	4009	4009	4209	0	200	2	93
17440	74	4009	4009	4209	0	200	2	93
17440	75	4007	4006	4207	1	201	3	93
17440	76	4009	4009	4205	0	196	2	93
17440	77	4012	4011	4208	1	197	3	93
17440	78	4006	4006	4202	0	196	2	93
17440	79	4011	4010	4211	1	201	3	93
17440	80	4010	4010	4206	0	196	2	93
17440	81	4005	4005	4203	0	198	2	93
17440	82	4011	4010	4209	1	199	3	93
17440	83	4009	4009	4209	0	200	2	93
17440	84	4007	4006	4207	1	201	3	93
17440	85	4010	4010	4206	0	196	2	93
17440	86	4011	4010	4209	1	199	3	93
17440	87	4005	4005	4203	0	198	2	93
17440	88	4009	4009	4207	0	198	2	93
17440	89	4009	4009	4210	0	201	3	93
17440	90	4006	4006	4202	0	196	2	93
17440	91	4012	4011	4208	1	197	3	93
17440	92	4010	4010	4206	0	196	2	93
17440	93	4007	4006	4207	1	201	3	93
17440	94	4009	4009	4207	0	198	2	93
17440	95	4013	4011	4211	2	200	4	93
17440	96	4006	4006	4202	0	196	2	93
17440	97	4010	4010	4206	0	196	2	93
17440	98	4012	4011	4208	1	197	3	93
17440	99	4005	4005	4205	0	200	2	93
17440	100	4012	4011	4208	1	197	3	93
17440	101	4009	4009	4209	0	200	2	93
17440	102	4009	4007	4207	2	200	4	93
17440	103	4009	4009	4209	0	200	2	93
17440	104	4009	4009	4209	0	200	2	93
17440	105	4005	4005	4203	0	198	2	93
17440	106	4009	4009	4207	0	198	2	93
17440	107	4011	4010	4211	1	201	3	93
17440	108	4006	4006	4202	0	196	2	93
17440	109	4011	4010	4209	1	199	3	93
17440	110	4010	4010	4206	0	196	2	93
17440	111	4009	4007	4207	2	200	4	93
17440	112	4009	4009	4209	0	200	2	93
17440	113	4010	4009	4205	1	196	2	93
17440	114	4008	4006	4203	2	197	3	93
17440	115	4009	4009	4209	0	200	2	93
17440	116	4011	4010	4211	1	201	3	93
17440	117	4005	4005	4203	0	198	2	93
17440	118	4012	4011	4208	1	197	3	93
17440	119	4009	4009	4205	0	196	2	93
17440	120	4005	4005	4205	0	200	2	93
17440	121	4009	4009	4205	0	196	2	93
17440	122	4009	4009	4209	0	200	2	93
17440	123	4007	4006	4203	1	197	3	93
17440	124	4010	4010	4206	0	196	2	93
17440	125	4012	4011	4208	1	197	3	93
17440	126	4005	4005	4204	0	199	2	93
17440	127	4012	4011	4208	1	197	3	93
17440	128	4010	4010	4206	0	196	2	93
17440	129	4006	4006	4202	0	196	2	93
17440	130	4012	4011	4208	1	197	3	93
17440	131	4009	4009	4207	0	198	2	93
17440	132	4007	4006	4205	1	199	3	93
17440	133	4009	4009	4207	0	198	2	93
17440	134	4012	4011	4208	1	197	3	93
17440	135	4005	4005	4203	0	198	2	93
17440	136	4009	4009	4212	0	203	3	93
17440	137	4009	4009	4209	0	200	2	93
17440	138	4005	4005	4203	0	198	2	93
17440	139	4012	4011	4208	1	197	3	93
17440	140	4010	4010	4206	0	196	2	93
17440	141	4007	4006	4205	1	199	3	93
17440	142	4010	4010	4206	0	196	2	93
17440	143	4012	4011	4208	1	197	3	93
17440	144	4006	4006	4202	0	196	2	93
17440	145	4009	4009	4207	0	198	2	93
17440	146	4011	4010	4209	1	199	3	93
17440	147	4005	4005	4203	0	198	2	93
17440	148	4011	4010	4211	1	201	3	93
17440	149	4009	4009	4209	0	200	2	93
17440	150	4008	4007	4204	1	197	3	93
17440	151	4009	4009	4209	0	200	2	93
17440	152	4011	4010	4211	1	201	3	93
17440	153	4006	4006	4202	0	196	2	93
17440	154	4009	4009	4207	0	198	2	93
17440	155	4012	4011	4208	1	197	3	93
17440	156	4005	4005	4203	0	198	2	93
17440	157	4011	4010	4211	1	201	3	93
17440	158	4009	4009	4207	0	198	2	93
17440	159	4007	4006	4206	1	200	3	93
17440	160	4010	4010	4206	0	196	2	93
17440	161	4009	4009	4209	0	200	2	93
17440	162	4008	4007	4204	1	197	3	93
17440	163	4009	4009	4209	0	200	2	93
17440	164	4011	4010	4211	1	201	3	93
17440	165	4005	4005	4205	0	200	2	93
17440	166	4011	4010	4211	1	201	3	93
17440	167	4009	4009	4209	0	200	2	93
17440	168	4007	4006	4207	1	201	3	93
17440	169	4009	4009	4209	0	200	2	93
17440	170	4010	4009	4205	1	196	2	93
17440	171	4008	4007	4204	1	197	3	93
17440	172	4010	4010	4206	0	196	2	93
17440	173	4011	4010	4207	1	197	3	93
17440	174	4005	4005	4203	0	198	2	93
17440	175	4012	4011	4208	1	197	3	93
17440	176	4010	4009	4205	1	196	2	93
17440	177	4005	4005	4203	0	198	2	93
17440	178	4012	4011	4208	1	197	3	93
17440	179	4010	4010	4206	0	196	2	93
17440	180	4007	4006	4205	1	199	3	93
17440	181	4009	4009	4209	0	200	2	93
17440	182	4011	4010	4209	1	199	3	93
17440	183	4006	4006	4202	0	196	2	93
17440	184	4012	4011	4208	1	197	3	93
17440	185	4009	4009	4207	0	198	2	93
17440	186	4005	4005	4203	0	198	2	93
17440	187	4012	4011	4208	1	197	3	93
17440	188	4009	4009	4209	0	200	2	93
17440	189	4007	4006	4205	1	199	3	93
17440	190	4010	4010	4206	0	196	2	93
17440	191	4011	4010	4207	1	197	3	93
17440	192	4006	4006	4202	0	196	2	93
17440	193	4009	4009	4207	0	198	2	93
17440	194	4012	4011	4208	1	197	3	93
17440	195	4005	4005	4203	0	198	2	93
17440	196	4011	4010	4211	1	201	3	93
17440	197	4009	4009	4209	0	200	2	93
17440	198	4008	4007	4204	1	197	3	93
17440	199	4010	4009	4205	1	196	2	93
17440	200	4011	4010	4209	1	199	3	93
17440	201	4005	4005	4205	0	200	2	93
17440	202	4010	4010	4206	0	196	2	93
17440	203	4011	4010	4209	1	199	3	93
17440	204	4005	4005	4201	0	196	2	93
17440	205	4011	4010	4209	1	199	3	93
17440	206	4009	4009	4207	0	198	2	93
17440	207	4007	4006	4205	1	199	3	93
17440	208	4009	4009	4207	0	198	2	93
17440	209	4010	4010	4206	0	196	2	93
17440	210	4008	4007	4204	1	197	3	93
17440	211	4009	4009	4208	0	199	2	93
17440	212	4011	4010	4211	1	201	3	93
17440	213	4005	4005	4203	0	198	2	93
17440	214	4012	4010	4207	2	197	3	93
17440	215	4010	4010	4206	0	196	2	93
17440	216	4007	4006	4207	1	201	3	93
17440	217	4009	4009	4207	0	198	2	93
17440	218	4010	4010	4206	0	196	2	93
17440	219	4008	4007	4204	1	197	3	93
17440	220	4009	4009	4209	0	200	2	93
17440	221	4011	4010	4209	1	199	3	93
17440	222	4006	4006	4202	0	196	2	93
17440	223	4011	4010	4211	1	201	3	93
17440	224	4010	4010	4206	0	196	2	93
17440	225	4006	4006	4202	0	196	2	93
17440	226	4010	4010	4206	0	196	2	93
17440	227	4010	4010	4206	0	196	2	93
17440	228	4007	4006	4205	1	199	3	93
17440	229	4010	4010	4206	0	196	2	93
17440	230	4011	4010	4207	1	197	3	93
17440	231	4006	4006	4202	0	196	2	93
17440	232	4012	4010	4207	2	197	3	93
17440	233	4009	4009	4207	0	198	2	93
17440	234	4005	4005	4203	0	198	2	93
17440	235	4011	4010	4211	1	201	3	93
17440	236	4010	4009	4205	1	196	2	93
17440	237	4007	4006	4205	1	199	3	93
17440	238	4009	4009	4209	0	200	2	93
17440	239	4011	4010	4209	1	199	3	93
17440	240	4006	4006	4202	0	196	2	93
17440	241	4010	4010	4206	0	196	2	93
17440	242	4009	4009	4209	0	200	2	93
17440	243	4005	4005	4203	0	198	2	93
17440	244	4011	4010	4207	1	197	3	93
17440	245	4010	4010	4206	0	196	2	93
17440	246	4007	4006	4206	1	200	3	93
17440	247	4010	4010	4206	0	196	2	93
17440	248	4011	4010	4211	1	201	3	93
17440	249	4005	4005	4205	0	200	2	93
17440	250	4009	4009	4207	0	198	2	93
17440	251	4012	4011	4208	1	197	3	93
17440	252	4005	4005	4204	0	199	2	93
17440	253	4011	4010	4211	1	201	3	93
17440	254	4010	4010	4206	0	196	2	93
17440	255	4007	4006	4205	1	199	3	93
17440	256	4009	4009	4209	0	200	2	93
17440	257	4010	4010	4206	0	196	2	93
17440	258	4006	4006	4202	0	196	2	93
17440	259	4009	4009	4208	0	199	2	93
17440	260	4011	4010	4209	1	199	3	93
17440	261	4005	4005	4203	0	198	2	93
17440	262	4011	4010	4210	1	200	3	93
17440	263	4009	4009	4208	0	199	2	93
17440	264	4008	4007	4204	1	197	3	93
17440	265	4010	4010	4206	0	196	2	93
17440	266	4009	4009	4207	0	198	2	93
17440	267	4007	4006	4205	1	199	3	93
17440	268	4010	4010	4206	0	196	2	93
17440	269	4012	4011	4208	1	197	3	93
17440	270	4005	4005	4203	0	198	2	93
17440	271	4011	4010	4207	1	197	3	93
17440	272	4009	4009	4207	0	198	2	93
17440	273	4005	4005	4203	0	198	2	93
17440	274	4009	4009	4209	0	200	2	93
17440	275	4009	4009	4209	0	200	2	93
17440	276	4007	4006	4205	1	199	3	93
17440	277	4009	4009	4208	0	199	2	93
17440	278	4012	4011	4208	1	197	3	93
17440	279	4005	4005	4203	0	198	2	93
17440	280	4011	4010	4209	1	199	3	93
17440	281	4010	4010	4206	0	196	2	93
17440	282	4006	4005	4201	1	196	2	93
17440	283	4011	4010	4209	1	199	3	93
17440	284	4010	4010	4206	0	196	2	93
17440	285	4007	4006	4205	1	199	3	93
17440	286	4010	4010	4206	0	196	2	93
17440	287	4012	4011	4208	1	197	3	93
17440	288	4006	4005	4201	1	196	2	93
17440	289	4009	4009	4209	0	200	2	93
17440	290	4009	4009	4207	0	198	2	93
17440	291	4005	4005	4203	0	198	2	93
17440	292	4012	4011	4208	1	197	3	93
17440	293	4009	4009	4209	0	200	2	93
17440	294	4007	4006	4205	1	199	3	93
17440	295	4010	4010	4206	0	196	2	93
17440	296	4011	4010	4209	1	199	3	93
17440	297	4005	4005	4205	0	200	2	93
17440	298	4009	4009	4209	0	200	2	93
17440	299	4011	4010	4207	1	197	3	93
17440	300	4005	4005	4201	0	196	2	93
