RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
17380	1	2005	2005	2202	0	197	2	93
17380	2	2003	2002	2201	1	199	3	93
17380	3	2005	2005	2203	0	198	2	93
17380	4	2005	2005	2203	0	198	2	93
17380	5	2005	2005	2203	0	198	2	93
17380	6	2007	2006	2204	1	198	3	93
17380	7	2003	2003	2201	0	198	2	93
17380	8	2005	2005	2201	0	196	2	93
17380	9	2005	2005	2201	0	196	2	93
17380	10	2005	2005	2203	0	198	2	93
17380	11	2005	2005	2206	0	201	3	93
17380	12	2005	2005	2203	0	198	2	93
17380	13	2001	2001	2199	0	198	2	93
17380	14	2005	2005	2203	0	198	2	93
17380	15	2007	2006	2205	1	199	3	93
17380	16	2005	2005	2201	0	196	2	93
17380	17	2005	2005	2201	0	196	2	93
17380	18	2003	2003	2201	0	198	2	93
17380	19	2007	2006	2203	1	197	3	93
17380	20	2005	2005	2203	0	198	2	93
17380	21	2005	2005	2203	0	198	2	93
17380	22	2005	2005	2203	0	198	2	93
17380	23	2007	2006	2203	1	197	3	93
17380	24	2001	2001	2199	0	198	2	93
17380	25	2005	2005	2201	0	196	2	93
17380	26	2005	2005	2203	0	198	2	93
17380	27	2007	2006	2205	1	199	3	93
17380	28	2005	2005	2203	0	198	2	93
17380	29	2003	2003	2199	0	196	2	93
17380	30	2005	2005	2201	0	196	2	93
17380	31	2005	2005	2203	0	198	2	93
17380	32	2005	2005	2203	0	198	2	93
17380	33	2005	2005	2203	0	198	2	93
17380	34	2005	2005	2203	0	198	2	93
17380	35	2001	2001	2197	0	196	2	93
17380	36	2007	2006	2205	1	199	3	93
17380	37	2005	2005	2203	0	198	2	93
17380	38	2005	2005	2201	0	196	2	93
17380	39	2005	2005	2203	0	198	2	93
17380	40	2005	2004	2201	1	197	3	93
17380	41	2005	2005	2202	0	197	2	93
17380	42	2005	2005	2203	0	198	2	93
17380	43	2005	2005	2203	0	198	2	93
17380	44	2007	2006	2205	1	199	3	93
17380	45	2005	2005	2203	0	198	2	93
17380	46	2000	2000	2198	0	198	2	93
17380	47	2005	2005	2203	0	198	2	93
17380	48	2007	2006	2205	1	199	3	93
17380	49	2005	2005	2203	0	198	2	93
17380	50	2005	2005	2201	0	196	2	93
17380	51	2003	2003	2199	0	196	2	93
17380	52	2007	2006	2205	1	199	3	93
17380	53	2005	2005	2203	0	198	2	93
17380	54	2005	2005	2201	0	196	2	93
17380	55	2005	2004	2202	1	198	2	93
17380	56	2005	2005	2203	0	198	2	93
17380	57	2001	2001	2200	0	199	3	93
