ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	36232	36220	36233	12	-1	7	141
2	36271	36257	36273	14	-2	9	145
3	36269	36259	36269	10	0	7	140
4	36250	36234	36251	16	-1	9	145
5	36264	36249	36267	15	-3	10	146
6	36272	36259	36273	13	-1	8	140
7	36277	36261	36278	16	-1	10	146
8	36229	36214	36230	15	-1	7	146
9	36271	36258	36272	13	-1	8	139
10	36270	36260	36272	10	-2	7	146
11	36271	36260	36272	11	-1	9	139
12	36236	36216	36237	20	-1	11	147
13	36274	36261	36275	13	-1	9	145
14	36270	36257	36271	13	-1	8	141
15	36272	36262	36273	10	-1	7	145
16	36229	36217	36229	12	0	7	141
17	36278	36263	36278	15	0	9	145
18	36274	36260	36274	14	0	8	147
19	36236	36225	36237	11	-1	8	139
20	36278	36255	36278	23	0	12	147
21	36271	36261	36272	10	-1	7	145
22	36272	36261	36274	11	-2	7	141
23	36229	36220	36232	9	-3	5	145
24	36270	36260	36271	10	-1	9	141
25	36279	36259	36278	20	1	8	145
26	36273	36261	36275	12	-2	9	147
27	36209	36198	36212	11	-3	8	139
28	36279	36259	36281	20	-2	11	146
29	36263	36258	36264	5	-1	5	139
30	36282	36265	36283	17	-1	8	145
31	36272	36262	36273	10	-1	6	146
32	36214	36203	36215	11	-1	9	139
33	36280	36259	36281	21	-1	9	147
34	36271	36259	36273	12	-2	9	145
35	36270	36259	36271	11	-1	8	141
36	36257	36243	36258	14	-1	7	145
37	36235	36226	36237	9	-2	6	141
38	36277	36260	36277	17	0	9	145
39	36273	36261	36275	12	-2	9	147
40	36272	36259	36274	13	-2	10	139
41	36225	36205	36225	20	0	10	147
42	36271	36261	36271	10	0	7	145
43	36270	36258	36273	12	-3	8	141
44	36271	36258	36273	13	-2	8	145
45	36272	36259	36273	13	-1	9	141
46	36228	36207	36230	21	-2	10	145
47	36273	36262	36276	11	-3	8	147
48	36271	36261	36273	10	-2	8	139
49	36270	36256	36271	14	-1	7	147
50	36253	36240	36254	13	-1	8	138
51	36246	36228	36247	18	-1	10	147
52	36269	36255	36269	14	0	8	144
53	36271	36257	36272	14	-1	9	141
54	36280	36264	36281	16	-1	8	144
55	36252	36237	36254	15	-2	9	147
56	36233	36221	36234	12	-1	8	138
57	36274	36260	36275	14	-1	7	147
58	36271	36262	36272	9	-1	6	139
59	36278	36263	36280	15	-2	9	147
60	36237	36224	36237	13	0	7	145
61	36259	36244	36259	15	0	8	141
62	36276	36262	36278	14	-2	7	145
63	36261	36256	36262	5	-1	6	141
64	36282	36262	36284	20	-2	9	145
65	36244	36227	36245	17	-1	9	147
66	36240	36229	36242	11	-2	8	139
67	36282	36265	36284	17	-2	6	147
68	36272	36259	36274	13	-2	8	145
69	36273	36264	36275	9	-2	7	141
70	36252	36238	36251	14	1	8	145
71	36236	36223	36236	13	0	7	141
72	36282	36264	36283	18	-1	9	145
73	36271	36258	36273	13	-2	8	147
74	36271	36258	36272	13	-1	8	139
75	36241	36224	36243	17	-2	8	147
76	36249	36245	36250	4	-1	5	139
77	36273	36262	36273	11	0	8	141
78	36271	36258	36273	13	-2	6	145
79	36272	36262	36274	10	-2	7	141
80	36222	36204	36223	18	-1	10	145
81	36273	36257	36275	16	-2	9	146
82	36271	36258	36271	13	0	8	139
83	36269	36259	36271	10	-2	7	146
84	36272	36261	36273	11	-1	9	140
