WL	MIN_pt	MAX_pt	MED_pt	AVG_pt	SD_pt
1	1128	1146	1134.0	1133.4	1.65
2	2255	2279	2267.0	2266.2	2.78
4	4513	4630	4533.0	4531.7	5.75
8	9025	9080	9065.0	9062.6	8.74
16	18053	18256	18129.0	18124.4	13.13
32	36113	37053	36259.0	36250.5	33.79
64	72209	75166	72502.0	72499.5	95.08
