WL	MIN_pt	MAX_pt	MED_pt	AVG_pt	SD_pt
1	1040	1377	1047.0	1051.3	23.58
2	2081	2584	2093.0	2102.2	38.04
4	4163	4782	4185.0	4196.7	43.54
8	8328	9180	8374.0	8397.8	72.39
